"game_id","egame_id","matchup","week"
1,400945031,"Portland StateBYU",1
2,400938887,"Hawai'iUMass",1
3,400935282,"Oregon StateColorado State",1
4,400941786,"South FloridaSan José State",1
5,400935257,"StanfordRice",1
6,400935247,"New Mexico StateArizona State",1
7,400944890,"Rhode IslandCentral Michigan",1
8,400941787,"Austin PeayCincinnati",1
9,400941788,"Holy CrossConnecticut",1
10,400944826,"Tennessee StateGeorgia State",1
11,400935229,"Ohio StateIndiana",1
12,400941789,"Louisiana MonroeMemphis",1
13,400935230,"BuffaloMinnesota",1
14,400944889,"ElonToledo",1
15,400935248,"North DakotaUtah",1
16,400937445,"Presbyterian CollegeWake Forest",1
17,400933828,"Florida A&MArkansas",1
18,400944827,"Sacramento StateIdaho",1
19,400944891,"CharlotteEastern Michigan",1
20,400937446,"Boston CollegeNorthern Illinois",1
21,400935250,"WashingtonRutgers",1
22,400937451,"Central ConnecticutSyracuse",1
23,400935231,"Utah StateWisconsin",1
24,400935249,"Colorado StateColorado",1
25,400934570,"FordhamArmy",1
26,400938592,"NavyFlorida Atlantic",1
27,400945246,"VMIAir Force",1
28,400935251,"Northern ArizonaArizona",1
29,400933829,"Georgia SouthernAuburn",1
30,400934489,"LibertyBaylor",1
31,400944830,"TroyBoise State",1
32,400937447,"Kent StateClemson",1
33,400938888,"UMassCoastal Carolina",1
34,400937448,"North Carolina CentralDuke",1
35,400941790,"James MadisonEast Carolina",1
36,400945248,"Incarnate WordFresno State",1
37,400933831,"Appalachian StateGeorgia",1
38,400945249,"Western CarolinaHawai'i",1
39,400935232,"Ball StateIllinois",1
40,400935233,"WyomingIowa",1
41,400934488,"Northern IowaIowa State",1
42,400934490,"Southeast Missouri StateKansas",1
43,400934491,"Central ArkansasKansas State",1
44,400944828,"Southeastern LouisianaLouisiana",1
45,400938593,"Northwestern StateLouisiana Tech",1
46,400938594,"Miami (OH)Marshall",1
47,400937449,"Bethune-CookmanMiami",1
48,400935234,"Bowling GreenMichigan State",1
49,400933835,"Charleston SouthernMississippi State",1
50,400933836,"Missouri StateMissouri",1
51,400935235,"Arkansas StateNebraska",1
52,400945247,"Abilene ChristianNew Mexico",1
53,400935256,"CaliforniaNorth Carolina",1
54,400938595,"LamarNorth Texas",1
55,400935236,"NevadaNorthwestern",1
56,400934492,"UTEPOklahoma",1
57,400934493,"TulsaOklahoma State",1
58,400938596,"AlbanyOld Dominion",1
59,400933834,"South AlabamaOle Miss",1
60,400935253,"Southern UtahOregon",1
61,400935254,"Portland StateOregon State",1
62,400935237,"AkronPenn State",1
63,400937450,"Youngstown StatePittsburgh",1
64,400945251,"Cal PolySan José State",1
65,400941792,"Stephen F. AustinSMU",1
66,400934494,"Jackson StateTCU",1
67,400934495,"MarylandTexas",1
68,400944829,"Houston BaptistTexas State",1
69,400934496,"Eastern WashingtonTexas Tech",1
70,400938597,"Alabama A&MUAB",1
71,400938591,"Florida IntlUCF",1
72,400945252,"HowardUNLV",1
73,400935252,"Western MichiganUSC",1
74,400941791,"Stony BrookSouth Florida",1
75,400938598,"HoustonUT San Antonio",1
76,400937452,"William & MaryVirginia",1
77,400935255,"Montana StateWashington State",1
78,400938599,"Eastern KentuckyWestern Kentucky",1
79,400933830,"MichiganFlorida",1
80,400933827,"Florida StateAlabama",1
81,400933837,"NC StateSouth Carolina",1
82,400935238,"LouisvillePurdue",1
83,400933833,"BYULSU",1
84,400944892,"HamptonOhio",1
85,400934573,"TempleNotre Dame",1
86,400933832,"KentuckySouthern Mississippi",1
87,400941793,"GramblingTulane",1
88,400933839,"VanderbiltMiddle Tennessee",1
89,400945250,"UC DavisSan Diego State",1
90,400933838,"Texas A&MUCLA",1
91,400934497,"West VirginiaVirginia Tech",1
92,400933840,"TennesseeGeorgia Tech",1
