team_id,true_team_name,oddsshark_team,espn_team_name,mascot,city,state,conference,division,primary_color_id,secondary_color_id
1,Abilene Christian,Abilene Christian,Abilene Christian,Wildcats,Abilene,TX,Southland,FCS,#4E2683,#FFFFFF
2,Air Force,Air Force,Air Force,Falcons,Colorado Springs,CO,Mountain West,FBS,#00308f,#a6a6a8
3,Akron,Akron,Akron,Zips,Akron,OH,MAC,FBS,#002147,#918b4c
4,Alabama,Alabama,Alabama,Crimson Tide,Tuscaloosa,AL,SEC,FBS,#9e1b32,#FFFFFF
5,Alabama A&M,Alabama A&M,Alabama A&M,Bulldogs,Normal,AL,SWAC,FCS,#750000,#FFFFFF
6,Alabama State,Alabama State,Alabama State,Hornets,Montgomery,AL,SWAC,FCS,#FECB09,#231F20
7,Albany,Albany-NY,Albany,Great Danes,Albany,NY,CAA,FCS,#3D2777,#FCBB0D
8,Alcorn State,Alcorn State,Alcorn State,Braves,Lorman,MS,SWAC,FCS,#42094A,#FFFFFF
9,Appalachian State,Appalachian State,Appalachian State,Mountaineers,Boone,NC,Sun Belt,FBS,#222222,#ffcc00
10,Arizona,Arizona,Arizona,Wildcats,Tucson,AZ,Pac-12,FBS,#AB0520,#0C234B
11,Arizona State,Arizona State,Arizona State,Sun Devils,Tempe,AZ,Pac-12,FBS,#990033,#FFB310
12,Arkansas,Arkansas,Arkansas,Razorbacks,Fayetteville,AR,SEC,FBS,#9D2235,#FFFFFF
13,Arkansas State,Arkansas State,Arkansas State,Red Wolves,Jonesboro,AR,Sun Belt,FBS,#cc092f,#000000
14,Arkansas-Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,Golden Lions,Pine Bluff,AR,SWAC,FCS,#000000,#EEBB00
15,Army West Point,Army,Army,Black Knights,West Point,NY,Independent,FBS,#000000,#d3bc8d
16,Auburn,Auburn,Auburn,Tigers,Auburn,AL,SEC,FBS,#0C2340,#F26522
17,Austin Peay,Austin Peay,Austin Peay,Governors,Clarksville,TN,Ohio Valley,FCS,#8E0B0B,#FFFFFF
18,Ball State,Ball State,Ball State,Cardinals,Muncie,IN,MAC,FBS,#BA0C2F,#FFFFFF
19,Baylor,Baylor,Baylor,Bears,Waco,TX,Big 12,FBS,#003015,#fecb00
20,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Wildcats,Daytona Beach,FL,MEAC,FCS,#841B35,#FFFFFF
21,Boise State,Boise State,Boise State,Broncos,Boise,ID,Mountain West,FBS,#09347A,#F1632A
22,Boston College,Boston College,Boston College,Eagles,Chestnut Hill,MA,ACC,FBS,#910039,#B38F59
23,Bowling Green,Bowling Green,Bowling Green,Falcons,Bowling Green,OH,MAC,FBS,#4F2C1D,#FE5000
24,Brown,,Brown,Bears,Providence,RI,Ivy,FCS,#543019,#8A1E04
25,Bryant,,Bryant,Bulldogs,Smithfield,RI,Northeast,FCS,#702D07,#231F20
26,Bucknell,,Bucknell,Bison,Lewisburg,PA,Patriot,FCS,#000064,#FF7000
27,Buffalo,Buffalo,Buffalo,Bulls,Buffalo,NY,MAC,FBS,#005bbb,#FFFFFF
28,Butler,,Butler,Bulldogs,Indianapolis,IN,Pioneer,FCS,#0D1361,#FFFFFF
29,BYU,BYU,BYU,Cougars,Provo,UT,Independent,FBS,#002255,#FFFFFF
30,Cal Poly,Cal Poly,Cal Poly,Mustangs,San Luis Obispo,CA,Big Sky,FCS,#123C31,#FFF1D0
31,California,California,California,Golden Bears,Berkeley,CA,Pac-12,FBS,#041E42,#FFC72C
32,Campbell,,Campbell,Fighting Camels,Buies Creek,NC,Pioneer,FCS,#000000,#FF8931
33,Central Arkansas,Central Arkansas,Central Arkansas,Bears,Conway,AR,Southland,FCS,#4F2683,#FFFFFF
34,Central Connecticut,Central Connecticut State,Central Connecticut,Blue Devils,New Britain,CT,Northeast,FCS,#1B49A2,#FFFFFF
35,Central Michigan,Central Michigan,Central Michigan,Chippewas,Mount Pleasant,MI,MAC,FBS,#6a0032,#ffc82e
36,Charleston Southern,Charleston Southern,Charleston Southern,Buccaneers,North Charleston,SC,Big South,FCS,#00447C,#FFFFFF
37,Charlotte,Charlotte,Charlotte,49ers,Charlotte,NC,C-USA,FBS,#046a38,#FFFFFF
38,Chattanooga,Chattanooga,Chattanooga,Mocs,Chattanooga,TN,Southern,FCS,#EEB311,#00437B
39,Cincinnati,Cincinnati,Cincinnati,Bearcats,Cincinnati,OH,American,FBS,#000000,#E00122
40,Clemson,Clemson,Clemson,Tigers,Clemson,SC,ACC,FBS,#F56600,#522D80
41,Coastal Carolina,Coastal Carolina,Coastal Carolina,Chanticleers,Conway,SC,Independent,FBS,#009297,#FFFFFF
42,Colgate,Colgate,Colgate,Raiders,Hamilton,NY,Patriot,FCS,#8B011D,#FFFFFF
43,Colorado,Colorado,Colorado,Buffaloes,Boulder,CO,Pac-12,FBS,#000000,#CFB87C
