"egame_id","game_id","favorite","espn_spread","update.ts"
400935247,6,"ASU",22.5,2017-08-31 21:17:04
400944890,7,"CMU",32.5,2017-08-31 21:17:04
400941787,8,"CIN",46.5,2017-08-31 21:17:04
400941788,9,"CONN",23,2017-08-31 21:17:04
400944826,10,"GAST",15.5,2017-08-31 21:17:04
400935229,11,"OSU",20.5,2017-08-31 21:17:04
400941789,12,"MEM",26,2017-08-31 21:17:04
400935230,13,"MINN",24.5,2017-08-31 21:17:04
400944889,14,"TOL",42,2017-08-31 21:17:04
400935248,15,"UTAH",22,2017-08-31 21:17:04
400937445,16,"WAKE",43.5,2017-08-31 21:17:04
400933828,17,"ARK",54,2017-08-31 21:17:04
400944827,18,"IDHO",25.5,2017-08-31 21:17:04
400944891,19,"EMU",14,2017-08-31 21:17:04
400937446,20,"BC",3.5,2017-08-31 21:17:04
400935250,21,"WASH",27.5,2017-08-31 21:17:04
400935231,23,"WIS",27.5,2017-08-31 21:17:04
400935249,24,"COLO",4.5,2017-08-31 21:17:04
400938592,26,"NAVY",10,2017-08-31 21:17:04
400933829,29,"AUB",34.5,2017-08-31 21:17:04
400944830,31,"BSU",11,2017-08-31 21:17:04
400937447,32,"CLEM",39.5,2017-08-31 21:17:04
400938888,33,"UMASS",2.5,2017-08-31 21:17:04
400933831,37,"UGA",14.5,2017-08-31 21:17:04
400935232,39,"ILL",6.5,2017-08-31 21:17:04
400935233,40,"IOWA",11.5,2017-08-31 21:17:04
400938594,46,"MRSH",2.5,2017-08-31 21:17:04
400935234,48,"MSU",17,2017-08-31 21:17:04
400935235,51,"NEB",15,2017-08-31 21:17:04
400935256,53,"UNC",11.5,2017-08-31 21:17:04
400935236,55,"NW",24,2017-08-31 21:17:04
400934492,56,"OKLA",43,2017-08-31 21:17:04
400934493,57,"OKST",18,2017-08-31 21:17:04
400933834,59,"MISS",23.5,2017-08-31 21:17:04
400935237,62,"PSU",30.5,2017-08-31 21:17:04
400934495,67,"TEX",18.5,2017-08-31 21:17:04
400938591,71,"UCF",17,2017-08-31 21:17:04
400935252,73,"USC",26.5,2017-08-31 21:17:04
400933830,79,"MICH",5,2017-08-31 21:17:04
400933827,80,"ALA",7,2017-08-31 21:17:04
400935238,82,"LOU",24.5,2017-08-31 21:17:04
400933833,83,"LSU",15.5,2017-08-31 21:17:04
400934573,85,"ND",18.5,2017-08-31 21:17:04
400933832,86,"UK",10.5,2017-08-31 21:17:04
400933839,88,"VAN",3,2017-08-31 21:17:04
400933838,90,"UCLA",3.5,2017-08-31 21:17:04
400934497,91,"VT",4,2017-08-31 21:17:04
400933840,92,"TENN",3,2017-08-31 21:17:04
