"game_id","oddshark_spread","update.ts"
1,36.5,2017-08-31 21:17:10
3,3.5,2017-08-31 21:17:10
5,30,2017-08-31 21:17:10
6,22,2017-08-31 21:17:10
7,32.5,2017-08-31 21:17:10
8,46.5,2017-08-31 21:17:10
10,15.5,2017-08-31 21:17:10
11,21,2017-08-31 21:17:10
13,24,2017-08-31 21:17:10
14,42,2017-08-31 21:17:10
15,22,2017-08-31 21:17:10
17,54,2017-08-31 21:17:10
18,25.5,2017-08-31 21:17:10
19,14,2017-08-31 21:17:10
21,27.5,2017-08-31 21:17:10
23,27,2017-08-31 21:17:10
24,3.5,2017-08-31 21:17:10
26,9,2017-08-31 21:17:10
29,34.5,2017-08-31 21:17:10
31,11,2017-08-31 21:17:10
32,39.5,2017-08-31 21:17:10
37,14,2017-08-31 21:17:10
39,6.5,2017-08-31 21:17:10
40,11.5,2017-08-31 21:17:10
48,17.5,2017-08-31 21:17:10
51,14.5,2017-08-31 21:17:10
53,12,2017-08-31 21:17:10
55,24,2017-08-31 21:17:10
56,43,2017-08-31 21:17:10
57,17.5,2017-08-31 21:17:10
59,24,2017-08-31 21:17:10
62,30.5,2017-08-31 21:17:10
67,18.5,2017-08-31 21:17:10
73,26.5,2017-08-31 21:17:10
79,5,2017-08-31 21:17:10
82,24.5,2017-08-31 21:17:10
83,15.5,2017-08-31 21:17:10
85,18.5,2017-08-31 21:17:10
88,3.5,2017-08-31 21:17:10
90,3.5,2017-08-31 21:17:10
91,4,2017-08-31 21:17:10
92,3,2017-08-31 21:17:10
