"egame_id","game_id","favorite","espn_spread"
400935251,28,"ARIZ",24.5
400933829,29,"AUB",34.5
400934489,30,"BAY",31
400938888,33,"UMASS",2.5
400945248,36,"FRES",32
400945249,38,"HAW",19
400934488,41,"ISU",9
400934490,42,"KU",29
400934491,43,"KSU",24.5
400944828,44,"ULL",14.5
400938593,45,"LT",39.5
400938594,46,"M-OH",3.5
400935235,51,"NEB",14
400945247,52,"UNM",34
400938595,54,"UNT",18
400933834,59,"MISS",22
400935253,60,"ORE",32
400945251,64,"SJSU",7.5
400941792,65,"SMU",30.5
400934494,66,"TCU",1
400944829,68,"TXST",15.5
400945252,72,"UNLV",43
400935255,77,"WSU",40.5
400938599,78,"WKU",38.5
400933827,80,"ALA",7.5
400935238,82,"LOU",26
400933833,83,"LSU",14
400944892,84,"OHIO",1
400941793,87,"TULN",13
400933839,88,"VAN",3
400945250,89,"SDSU",35
400933838,90,"UCLA",4
400934497,91,"VT",4.5
400933840,92,"TENN",3
