"game_id","oddshark_spread","update.ts"
1,36.5,2017-09-02 15:26:07
3,3.5,2017-09-02 15:26:07
5,30,2017-09-02 15:26:07
6,24.5,2017-09-02 15:26:07
7,34.5,2017-09-02 15:26:07
8,42,2017-09-02 15:26:07
10,14.5,2017-09-02 15:26:07
11,20.5,2017-09-02 15:26:07
13,22,2017-09-02 15:26:07
14,45,2017-09-02 15:26:07
15,20,2017-09-02 15:26:07
17,47,2017-09-02 15:26:07
18,21.5,2017-09-02 15:26:07
19,14,2017-09-02 15:26:07
21,28,2017-09-02 15:26:07
23,27.5,2017-09-02 15:26:07
24,3,2017-09-02 15:26:07
25,19,2017-09-02 15:26:07
26,9,2017-09-02 15:26:07
27,34.5,2017-09-02 15:26:07
28,24.5,2017-09-02 15:26:07
29,34,2017-09-02 15:26:07
30,31,2017-09-02 15:26:07
31,10.5,2017-09-02 15:26:07
32,38,2017-09-02 15:26:07
34,35.5,2017-09-02 15:26:07
35,1.5,2017-09-02 15:26:07
36,32.5,2017-09-02 15:26:07
37,13,2017-09-02 15:26:07
39,5.5,2017-09-02 15:26:07
40,12.5,2017-09-02 15:26:07
41,10,2017-09-02 15:26:07
42,28.5,2017-09-02 15:26:07
43,24.5,2017-09-02 15:26:07
48,17,2017-09-02 15:26:07
49,21.5,2017-09-02 15:26:07
50,36,2017-09-02 15:26:07
51,14.5,2017-09-02 15:26:07
52,34,2017-09-02 15:26:07
53,13,2017-09-02 15:26:07
54,18,2017-09-02 15:26:07
55,24,2017-09-02 15:26:07
56,42.5,2017-09-02 15:26:07
57,20,2017-09-02 15:26:07
59,21.5,2017-09-02 15:26:07
60,32.5,2017-09-02 15:26:07
61,25.5,2017-09-02 15:26:07
62,30,2017-09-02 15:26:07
63,13,2017-09-02 15:26:07
65,30,2017-09-02 15:26:07
66,59,2017-09-02 15:26:07
67,19,2017-09-02 15:26:07
68,15.5,2017-09-02 15:26:07
69,11,2017-09-02 15:26:07
70,28,2017-09-02 15:26:07
72,44.5,2017-09-02 15:26:07
73,28,2017-09-02 15:26:07
76,27,2017-09-02 15:26:07
77,40,2017-09-02 15:26:07
79,4.5,2017-09-02 15:26:07
80,7.5,2017-09-02 15:26:07
82,25.5,2017-09-02 15:26:07
83,14,2017-09-02 15:26:07
84,36,2017-09-02 15:26:07
85,19.5,2017-09-02 15:26:07
88,3,2017-09-02 15:26:07
89,35,2017-09-02 15:26:07
90,3.5,2017-09-02 15:26:07
91,5,2017-09-02 15:26:07
92,3,2017-09-02 15:26:07
