"away_team","away_score","home_team","home_score","favorite","final_spread","is.final","winner","is.upset","update.ts"
"W&M",10,"UVA",28,"UVA",28,"Final","UVA",0,2017-09-02 15:48:30
"KENT",3,"CLEM",56,"CLEM",38,"Final","CLEM",0,2017-09-02 15:48:30
"AKR",0,"PSU",52,"PSU",30,"Final","PSU",0,2017-09-02 15:48:30
"BCU",13,"MIAMI",41,"MIAMI",1,"Final","MIAMI",0,2017-09-02 15:48:30
"MD",51,"TEX",41,"TEX",18.5,"Final","MD",1,2017-09-02 15:48:30
"BALL",21,"ILL",24,"ILL",5,"Final","ILL",0,2017-09-02 15:48:30
"WYO",3,"IOWA",24,"IOWA",12,"Final","IOWA",0,2017-09-02 15:48:30
"BGSU",10,"MSU",35,"MSU",17,"Final","MSU",0,2017-09-02 15:48:30
"MOST",43,"MIZ",72,"MIZ",35.5,"Final","MIZ",0,2017-09-02 15:48:30
"CAL",35,"UNC",30,"UNC",13.5,"Final","CAL",1,2017-09-02 15:48:30
"YSU",0,"PITT",7,"PITT",13,"Final/OT","PITT",0,2017-09-02 15:48:30
"PRST",32,"ORST",35,"ORST",24.5,"Final","ORST",0,2017-09-02 15:48:30
"VMI",0,"AFA",62,"AFA",36,"Final","AFA",0,2017-09-02 15:48:30
"STAN",62,"RICE",7,"STAN",30.5,"Final","STAN",0,2017-09-02 15:48:30
"USF",42,"SJSU",22,"USF",21,"Final","USF",0,2017-09-02 15:48:30
"ORST",27,"CSU",58,"CSU",3,"Final","CSU",0,2017-09-02 15:48:30
"PRST",6,"BYU",20,"BYU",37,"Final","BYU",0,2017-09-02 15:48:30
"HAW",38,"UMASS",35,"UMASS",2.5,"Final","HAW",1,2017-09-02 15:48:30
"OSU",49,"IND",21,"OSU",21,"Final","OSU",0,2017-09-02 15:48:30
"TLSA",24,"OKST",59,"OKST",19.5,"Final","OKST",0,2017-09-02 15:48:30
"FIU",17,"UCF",61,"UCF",17.5,"Final","UCF",0,2017-09-02 15:48:30
"PRE",7,"WAKE",51,"WAKE",42.5,"Final","WAKE",0,2017-09-02 15:48:30
"PEAY",14,"CIN",26,"CIN",1,"Final","CIN",0,2017-09-02 15:48:30
"BUFF",7,"MINN",17,"MINN",22,"Final","MINN",0,2017-09-02 15:48:30
"TNST",17,"GAST",10,"GAST",15,"Final","TNST",1,2017-09-02 15:48:30
"ELON",13,"TOL",47,"TOL",44.5,"Final","TOL",0,2017-09-02 15:48:30
"URI",6,"CMU",9,"CMU",34.5,"Final/3OT","CMU",0,2017-09-02 15:48:30
"HC",20,"CONN",27,"CONN",22.5,"Final","CONN",0,2017-09-02 15:48:30
"UND",16,"UTAH",37,"UTAH",21,"Final","UTAH",0,2017-09-02 15:48:30
"FAMU",7,"ARK",49,"ARK",46.5,"Final","ARK",0,2017-09-02 15:48:30
"SAC",6,"IDHO",28,"IDHO",23.5,"Final","IDHO",0,2017-09-02 15:48:30
"ULM",29,"MEM",37,"MEM",28,"Final","MEM",0,2017-09-02 15:48:30
"NMSU",31,"ASU",37,"ASU",25.5,"Final","ASU",0,2017-09-02 15:48:30
"WASH",30,"RUTG",14,"WASH",28,"Final","WASH",0,2017-09-02 15:48:30
"USU",10,"WIS",59,"WIS",27,"Final","WIS",0,2017-09-02 15:48:30
"FOR",6,"ARMY",64,"ARMY",18,"Final","ARMY",0,2017-09-02 15:48:30
"CHAR",7,"EMU",24,"EMU",14,"Final","EMU",0,2017-09-02 15:48:30
"CCSU",7,"SYR",50,"SYR",46,"Final","SYR",0,2017-09-02 15:48:30
"NAVY",42,"FAU",19,"NAVY",9,"Final","NAVY",0,2017-09-02 15:48:30
"CSU",3,"COLO",17,"COLO",3,"Final","COLO",0,2017-09-02 15:48:30
"BC",23,"NIU",20,"BC",3.5,"Final","BC",0,2017-09-02 15:48:30
