"game_id","egame_id","favorite","espn_spread","oddshark_spread","update.ts"
28,400935251,"ARIZ",24.5,24.5,"2017-09-02 15:26:07"
29,400933829,"AUB",34.5,34,"2017-09-02 15:26:07"
30,400934489,"BAY",31,31,"2017-09-02 15:26:07"
36,400945248,"FRES",32,32.5,"2017-09-02 15:26:07"
41,400934488,"ISU",9,10,"2017-09-02 15:26:07"
42,400934490,"KU",29,28.5,"2017-09-02 15:26:07"
43,400934491,"KSU",24.5,24.5,"2017-09-02 15:26:07"
51,400935235,"NEB",14,14.5,"2017-09-02 15:26:07"
52,400945247,"UNM",34,34,"2017-09-02 15:26:07"
54,400938595,"UNT",18,18,"2017-09-02 15:26:07"
59,400933834,"MISS",22,21.5,"2017-09-02 15:26:07"
60,400935253,"ORE",32,32.5,"2017-09-02 15:26:07"
65,400941792,"SMU",30.5,30,"2017-09-02 15:26:07"
66,400934494,"TCU",1,59,"2017-09-02 15:26:07"
68,400944829,"TXST",15.5,15.5,"2017-09-02 15:26:07"
72,400945252,"UNLV",43,44.5,"2017-09-02 15:26:07"
77,400935255,"WSU",40.5,40,"2017-09-02 15:26:07"
80,400933827,"ALA",7.5,7.5,"2017-09-02 15:26:07"
82,400935238,"LOU",26,25.5,"2017-09-02 15:26:07"
83,400933833,"LSU",14,14,"2017-09-02 15:26:07"
84,400944892,"OHIO",1,36,"2017-09-02 15:26:07"
88,400933839,"VAN",3,3,"2017-09-02 15:26:07"
89,400945250,"SDSU",35,35,"2017-09-02 15:26:07"
90,400933838,"UCLA",4,3.5,"2017-09-02 15:26:07"
91,400934497,"VT",4.5,5,"2017-09-02 15:26:07"
92,400933840,"TENN",3,3,"2017-09-02 15:26:07"
