"matchup","game_id","oddshark_spread","update.ts"
"Idaho StateUtah State",93,NA,2017-09-05 11:47:34
"OhioPurdue",94,4.5,2017-09-05 11:47:34
"Arkansas-Pine BluffAkron",95,NA,2017-09-05 11:47:34
"Fresno StateAlabama",96,43.5,2017-09-05 11:47:34
"Savannah StateAppalachian State",97,NA,2017-09-05 11:47:34
"HoustonArizona",98,2,2017-09-05 11:47:34
"San Diego StateArizona State",99,5,2017-09-05 11:47:34
"TCUArkansas",100,3.5,2017-09-05 11:47:34
"UABBall State",102,14,2017-09-05 11:47:34
"Wake ForestBoston College",104,1.5,2017-09-05 11:47:34
"South DakotaBowling Green",105,NA,2017-09-05 11:47:34
"UtahBYU",106,1.5,2017-09-05 11:47:34
"Weber StateCalifornia",107,NA,2017-09-05 11:47:34
"AuburnClemson",108,5.5,2017-09-05 11:47:34
"Texas StateColorado",109,35,2017-09-05 11:47:34
"Abilene ChristianColorado State",110,NA,2017-09-05 11:47:34
"NorthwesternDuke",112,3.5,2017-09-05 11:47:34
"Northern ColoradoFlorida",114,NA,2017-09-05 11:47:34
"Jacksonville StateGeorgia Tech",116,NA,2017-09-05 11:47:34
"UNLVIdaho",117,6,2017-09-05 11:47:34
"IowaIowa State",119,2.5,2017-09-05 11:47:34
"Central MichiganKansas",120,6,2017-09-05 11:47:34
"CharlotteKansas State",121,36,2017-09-05 11:47:34
"HowardKent State",122,NA,2017-09-05 11:47:34
"Eastern KentuckyKentucky",123,NA,2017-09-05 11:47:34
"ChattanoogaLSU",124,NA,2017-09-05 11:47:34
"TowsonMaryland",125,NA,2017-09-05 11:47:34
"CincinnatiMichigan",127,34,2017-09-05 11:47:34
"Western MichiganMichigan State",128,7.5,2017-09-05 11:47:34
"South CarolinaMissouri",129,2.5,2017-09-05 11:47:34
"MarshallNC State",130,24,2017-09-05 11:47:34
"ToledoNevada",131,9.5,2017-09-05 11:47:34
"New Mexico StateNew Mexico",132,7,2017-09-05 11:47:34
"LouisvilleNorth Carolina",133,10,2017-09-05 11:47:34
"OklahomaOhio State",135,7.5,2017-09-05 11:47:34
"NebraskaOregon",137,14,2017-09-05 11:47:34
"MinnesotaOregon State",138,2.5,2017-09-05 11:47:34
"PittsburghPenn State",139,20.5,2017-09-05 11:47:34
"Eastern MichiganRutgers",140,5,2017-09-05 11:47:34
"North TexasSMU",141,13,2017-09-05 11:47:34
"Oklahoma StateSouth Alabama",142,28,2017-09-05 11:47:34
"Middle TennesseeSyracuse",144,8.5,2017-09-05 11:47:34
"VillanovaTemple",145,NA,2017-09-05 11:47:34
"Indiana StateTennessee",146,NA,2017-09-05 11:47:34
"Alabama StateTroy",149,NA,2017-09-05 11:47:34
"MemphisUCF",151,NA,2017-09-05 11:47:34
"StanfordUSC",154,6.5,2017-09-05 11:47:34
"RiceUTEP",155,1,2017-09-05 11:47:34
"Alabama A&MVanderbilt",156,NA,2017-09-05 11:47:34
"IndianaVirginia",157,3,2017-09-05 11:47:34
"DelawareVirginia Tech",158,NA,2017-09-05 11:47:34
"MontanaWashington",159,NA,2017-09-05 11:47:34
"Boise StateWashington State",160,10.5,2017-09-05 11:47:34
"East CarolinaWest Virginia",161,24,2017-09-05 11:47:34
"Florida AtlanticWisconsin",162,31,2017-09-05 11:47:34
"Gardner-WebbWyoming",163,NA,2017-09-05 11:47:34
"BuffaloArmy",164,16.5,2017-09-05 11:47:34
"TulaneNavy",165,13.5,2017-09-05 11:47:34
"New HampshireGeorgia Southern",166,NA,2017-09-05 11:47:34
"GeorgiaNotre Dame",169,5,2017-09-05 11:47:34
"Alcorn StateFIU",NA,NA,2017-09-05 11:47:34
"Austin PeayMiami-OH",NA,NA,2017-09-05 11:47:34
"Eastern IllinoisNIU",NA,NA,2017-09-05 11:47:34
"HawaiiUCLA",NA,23,2017-09-05 11:47:34
"Louisiana-LafayetteTulsa",NA,14.5,2017-09-05 11:47:34
"Louisiana-MonroeFlorida State",NA,32,2017-09-05 11:47:34
"Miami-FLArkansas State",NA,14.5,2017-09-05 11:47:34
"Mississippi StateLA Tech",NA,7,2017-09-05 11:47:34
"Nicholls StateTexas A&M",NA,NA,2017-09-05 11:47:34
"Old DominionMassachusetts",NA,3.5,2017-09-05 11:47:34
"San Jose StateTexas",NA,26.5,2017-09-05 11:47:34
"Southern UniversitySouthern Miss",NA,NA,2017-09-05 11:47:34
"Tennessee-MartinOle Miss",NA,NA,2017-09-05 11:47:34
"USFUCONN",NA,17.5,2017-09-05 11:47:34
"UTSABaylor",NA,16.5,2017-09-05 11:47:34
"WKUIllinois",NA,8,2017-09-05 11:47:34
