"game_id","egame_id","favorite","espn_spread","time","matchup","oddshark_spread","update.ts"
94,400935239,"PUR",4.5," 20:00:00","OhioPurdue",4.5,"2017-09-05 11:47:34"
96,400933841,"ALA",1," 15:30:00","Fresno StateAlabama",43.5,"2017-09-05 11:47:34"
98,400935258,"HOU",2," 22:30:00","HoustonArizona",2,"2017-09-05 11:47:34"
99,400935259,"ASU",4.5," 23:00:00","San Diego StateArizona State",5,"2017-09-05 11:47:34"
100,400933842,"TCU",3," 15:30:00","TCUArkansas",3.5,"2017-09-05 11:47:34"
101,400937457,"MIAMI",14.5," 15:30:00",NA,NA,NA
102,400938605,"BALL",14.5," 15:00:00","UABBall State",14,"2017-09-05 11:47:34"
103,400934498,"BAY",16.5," 20:00:00",NA,NA,NA
104,400937453,"BC",1.5," 13:00:00","Wake ForestBoston College",1.5,"2017-09-05 11:47:34"
106,400935263,"BYU",1," 22:15:00","UtahBYU",1.5,"2017-09-05 11:47:34"
108,400933843,"CLEM",5.5," 19:00:00","AuburnClemson",5.5,"2017-09-05 11:47:34"
109,400935262,"COLO",35.5," 14:00:00","Texas StateColorado",35,"2017-09-05 11:47:34"
111,400941796,"USF",17.5," 12:00:00",NA,NA,NA
112,400935240,"NW",3.5," 12:00:00","NorthwesternDuke",3.5,"2017-09-05 11:47:34"
115,400937454,"FSU",33," 19:00:00",NA,NA,NA
117,400944833,"IDHO",6.5," 19:00:00","UNLVIdaho",6,"2017-09-05 11:47:34"
118,400935241,"WKU",8.5," 20:00:00",NA,NA,NA
119,400934499,"IOWA",2.5," 12:00:00","IowaIowa State",2.5,"2017-09-05 11:47:34"
120,400934500,"KU",5.5," 16:00:00","Central MichiganKansas",6,"2017-09-05 11:47:34"
121,400934501,"KSU",36.5," 12:00:00","CharlotteKansas State",36,"2017-09-05 11:47:34"
127,400935243,"MICH",34," 12:00:00","CincinnatiMichigan",34,"2017-09-05 11:47:34"
128,400935244,"MSU",8," 15:30:00","Western MichiganMichigan State",7.5,"2017-09-05 11:47:34"
129,400933850,"MIZ",2.5," 19:00:00","South CarolinaMissouri",2.5,"2017-09-05 11:47:34"
130,400937458,"NCST",23.5," 18:00:00","MarshallNC State",24,"2017-09-05 11:47:34"
131,400944898,"TOL",9.5," 19:00:00","ToledoNevada",9.5,"2017-09-05 11:47:34"
132,400944834,"UNM",7.5," 20:00:00","New Mexico StateNew Mexico",7,"2017-09-05 11:47:34"
133,400937456,"LOU",10," 12:00:00","LouisvilleNorth Carolina",10,"2017-09-05 11:47:34"
135,400934502,"OSU",7.5," 19:30:00","OklahomaOhio State",7.5,"2017-09-05 11:47:34"
137,400935264,"ORE",14," 16:30:00","NebraskaOregon",14,"2017-09-05 11:47:34"
138,400935265,"ORST",2," 22:00:00","MinnesotaOregon State",2.5,"2017-09-05 11:47:34"
139,400935245,"PSU",20.5," 15:30:00","PittsburghPenn State",20.5,"2017-09-05 11:47:34"
140,400935246,"RUTG",5," 15:30:00","Eastern MichiganRutgers",5,"2017-09-05 11:47:34"
141,400938601,"SMU",13," 19:00:00","North TexasSMU",13,"2017-09-05 11:47:34"
142,400934503,"OKST",28," 20:00:00","Oklahoma StateSouth Alabama",28,"2017-09-05 11:47:34"
144,400937459,"SYR",9," 15:30:00","Middle TennesseeSyracuse",8.5,"2017-09-05 11:47:34"
147,400934504,"TEX",26," 15:30:00",NA,NA,NA
150,400941798,"TLSA",15," 16:00:00",NA,NA,NA
151,400941795,"UCF",2," 20:00:00",NA,NA,NA
152,400935261,"UCLA",23.5," 17:00:00",NA,NA,NA
153,400938602,"ODU",3.5," 15:30:00",NA,NA,NA
154,400935260,"USC",7," 20:30:00","StanfordUSC",6.5,"2017-09-05 11:47:34"
155,400938603,"UTEP",1.5," 20:00:00","RiceUTEP",1,"2017-09-05 11:47:34"
157,400935347,"IND",3," 15:30:00","IndianaVirginia",3,"2017-09-05 11:47:34"
160,400935267,"WSU",10," 22:30:00","Boise StateWashington State",10.5,"2017-09-05 11:47:34"
161,400934505,"WVU",24," 12:00:00","East CarolinaWest Virginia",24,"2017-09-05 11:47:34"
162,400935348,"WIS",32," 12:00:00","Florida AtlanticWisconsin",31,"2017-09-05 11:47:34"
164,400934562,"ARMY",16.5," 12:00:00","BuffaloArmy",16.5,"2017-09-05 11:47:34"
165,400941794,"NAVY",13.5," 15:30:00","TulaneNavy",13.5,"2017-09-05 11:47:34"
168,400933849,"MSST",7," 19:30:00",NA,NA,NA
169,400933845,"ND",4.5," 19:30:00","GeorgiaNotre Dame",5,"2017-09-05 11:47:34"
