"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
93,"Idaho State @ Utah State"," 20:00:00","",NA,NA,NA,2017-09-06 11:52:16
94,"Ohio @ Purdue"," 20:00:00","PUR",4,4,4,2017-09-06 11:52:16
95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA,NA,NA,2017-09-06 11:52:16
96,"Fresno State @ Alabama"," 15:30:00","ALA",43.5,43.5,43.5,2017-09-06 11:52:16
97,"Savannah State @ Appalachian State"," 15:30:00","",NA,NA,NA,2017-09-06 11:52:16
98,"Houston @ Arizona"," 22:30:00","HOU",1,1.5,1,2017-09-06 11:52:16
99,"San Diego State @ Arizona State"," 23:00:00","ASU",3.5,4,3.5,2017-09-06 11:52:16
100,"TCU @ Arkansas"," 15:30:00","TCU",3.5,3.5,3.5,2017-09-06 11:52:16
101,"Miami @ Arkansas State",NA,"",NA,14.5,14.5,2017-09-06 11:52:16
102,"UAB @ Ball State"," 15:00:00","BALL",14.5,14,14.5,2017-09-06 11:52:16
103,"UT San Antonio @ Baylor"," 20:00:00","BAY",16.5,16.5,16.5,2017-09-06 11:52:16
104,"Wake Forest @ Boston College"," 13:00:00","BC",1.5,1.5,1.5,2017-09-06 11:52:16
105,"South Dakota @ Bowling Green"," 18:00:00","",NA,NA,NA,2017-09-06 11:52:16
106,"Utah @ BYU"," 22:15:00","UTAH",1.5,1,1.5,2017-09-06 11:52:16
107,"Weber State @ California"," 17:00:00","",NA,NA,NA,2017-09-06 11:52:16
108,"Auburn @ Clemson"," 19:00:00","CLEM",4.5,5.5,4.5,2017-09-06 11:52:16
109,"Texas State @ Colorado"," 14:00:00","COLO",35.5,35,35.5,2017-09-06 11:52:16
110,"Abilene Christian @ Colorado State"," 15:30:00","",NA,NA,NA,2017-09-06 11:52:16
111,"South Florida @ Connecticut"," 12:00:00","USF",17.5,17.5,17.5,2017-09-06 11:52:16
112,"Northwestern @ Duke"," 12:00:00","NW",3,3.5,3,2017-09-06 11:52:16
113,"Alcorn State @ Florida Intl"," 19:30:00","",NA,NA,NA,2017-09-06 11:52:16
114,"Northern Colorado @ Florida"," 19:30:00","",NA,NA,NA,2017-09-06 11:52:16
115,"Louisiana Monroe @ Florida State"," 12:00:00","FSU",33.5,32,33.5,2017-09-06 11:52:16
116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA,NA,NA,2017-09-06 11:52:16
117,"UNLV @ Idaho"," 19:00:00","IDHO",6.5,6,6.5,2017-09-06 11:52:16
118,"Western Kentucky @ Illinois"," 20:00:00","WKU",7.5,7.5,7.5,2017-09-06 11:52:16
119,"Iowa @ Iowa State"," 12:00:00","IOWA",2.5,2.5,2.5,2017-09-06 11:52:16
120,"Central Michigan @ Kansas"," 16:00:00","KU",6,6,6,2017-09-06 11:52:16
121,"Charlotte @ Kansas State"," 12:00:00","KSU",36.5,36,36.5,2017-09-06 11:52:16
