"egame_id","game_id","favorite","espn_spread","time"
400945253,93,"",NA," 20:00:00"
400935239,94,"PUR",4," 20:00:00"
400944893,95,"",NA," 18:30:00"
400933841,96,"ALA",43.5," 15:30:00"
400944831,97,"",NA," 15:30:00"
400935258,98,"HOU",1," 22:30:00"
400935259,99,"ASU",3.5," 23:00:00"
400933842,100,"TCU",3.5," 15:30:00"
400937457,101,"MIAMI",14.5," 15:30:00"
400938605,102,"BALL",14.5," 15:00:00"
400934498,103,"BAY",16.5," 20:00:00"
400937453,104,"BC",1.5," 13:00:00"
400944897,105,"",NA," 18:00:00"
400935263,106,"UTAH",1.5," 22:15:00"
400935268,107,"",NA," 17:00:00"
400933843,108,"CLEM",4.5," 19:00:00"
400935262,109,"COLO",35.5," 14:00:00"
400945254,110,"",NA," 15:30:00"
400941796,111,"USF",17.5," 12:00:00"
400935240,112,"NW",3," 12:00:00"
400938600,113,"",NA," 19:30:00"
400933844,114,"",NA," 19:30:00"
400937454,115,"FSU",33.5," 19:00:00"
400937455,116,"",NA," 12:30:00"
400944833,117,"IDHO",6.5," 19:00:00"
400935241,118,"WKU",7.5," 20:00:00"
400934499,119,"IOWA",2.5," 12:00:00"
400934500,120,"KU",6," 16:00:00"
400934501,121,"KSU",36.5," 12:00:00"
400944896,122,"",NA," 15:30:00"
400933846,123,"",NA," 12:00:00"
400933847,124,"",NA," 19:30:00"
400935242,125,"",NA," 12:00:00"
400944894,126,"",NA," 15:30:00"
400935243,127,"MICH",34," 12:00:00"
400935244,128,"MSU",7," 15:30:00"
400933850,129,"MIZ",2.5," 19:00:00"
400937458,130,"NCST",24.5," 18:00:00"
400944898,131,"TOL",9.5," 19:00:00"
400944834,132,"UNM",7," 20:00:00"
400937456,133,"LOU",9.5," 12:00:00"
400944895,134,"",NA," 15:30:00"
400934502,135,"OSU",7," 19:30:00"
400933848,136,"",NA," 12:00:00"
400935264,137,"ORE",13," 16:30:00"
400935265,138,"ORST",2," 22:00:00"
400935245,139,"PSU",22," 15:30:00"
400935246,140,"RUTG",5," 15:30:00"
400938601,141,"SMU",13," 19:00:00"
400934503,142,"OKST",28," 20:00:00"
400938604,143,"",NA," 19:00:00"
400937459,144,"SYR",9.5," 15:30:00"
400941797,145,"",NA," 15:30:00"
400933851,146,"",NA," 16:00:00"
400934504,147,"TEX",26," 15:30:00"
400933852,148,"",NA," 19:00:00"
400944835,149,"",NA," 18:00:00"
400941798,150,"TLSA",15," 16:00:00"
400941795,151,"UCF",2.5," 18:30:00"
400935261,152,"UCLA",23.5," 17:00:00"
400938602,153,"ODU",4," 15:30:00"
400935260,154,"USC",6.5," 20:30:00"
400938603,155,"UTEP",1.5," 20:00:00"
400933853,156,"",NA," 16:00:00"
400935347,157,"IND",3," 15:30:00"
400937460,158,"",NA," 15:30:00"
400935266,159,"",NA," 20:00:00"
400935267,160,"WSU",10," 22:30:00"
400934505,161,"WVU",24," 12:00:00"
400935348,162,"WIS",32," 12:00:00"
400945255,163,"",NA," 16:00:00"
400934562,164,"ARMY",16.5," 12:00:00"
400941794,165,"NAVY",13.5," 15:30:00"
400944832,166,"",NA," 18:00:00"
400933849,168,"MSST",8.5," 19:30:00"
400933845,169,"ND",4.5," 19:30:00"
