"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
93,"Idaho State @ Utah State"," 20:00:00","",NA,NA,NA,2017-09-06 00:27:16
95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA,NA,NA,2017-09-06 00:27:16
97,"Savannah State @ Appalachian State"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
105,"South Dakota @ Bowling Green"," 18:00:00","",NA,NA,NA,2017-09-06 00:27:16
107,"Weber State @ California"," 17:00:00","",NA,NA,NA,2017-09-06 00:27:16
110,"Abilene Christian @ Colorado State"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
113,"Alcorn State @ Florida Intl"," 19:30:00","",NA,NA,NA,2017-09-06 00:27:16
114,"Northern Colorado @ Florida"," 19:30:00","",NA,NA,NA,2017-09-06 00:27:16
116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA,NA,NA,2017-09-06 00:27:16
122,"Howard @ Kent State"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
123,"Eastern Kentucky @ Kentucky"," 12:00:00","",NA,NA,NA,2017-09-06 00:27:16
124,"Chattanooga @ LSU"," 19:30:00","",NA,NA,NA,2017-09-06 00:27:16
125,"Towson @ Maryland"," 12:00:00","",NA,NA,NA,2017-09-06 00:27:16
126,"Austin Peay @ Miami (OH)"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
134,"Eastern Illinois @ Northern Illinois"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
136,"UT Martin @ Ole Miss"," 12:00:00","",NA,NA,NA,2017-09-06 00:27:16
143,"Southern @ Southern Mississippi"," 19:00:00","",NA,NA,NA,2017-09-06 00:27:16
145,"Villanova @ Temple"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
146,"Indiana State @ Tennessee"," 16:00:00","",NA,NA,NA,2017-09-06 00:27:16
148,"Nicholls @ Texas A&M"," 19:00:00","",NA,NA,NA,2017-09-06 00:27:16
149,"Alabama State @ Troy"," 18:00:00","",NA,NA,NA,2017-09-06 00:27:16
156,"Alabama A&M @ Vanderbilt"," 16:00:00","",NA,NA,NA,2017-09-06 00:27:16
158,"Delaware @ Virginia Tech"," 15:30:00","",NA,NA,NA,2017-09-06 00:27:16
159,"Montana @ Washington"," 20:00:00","",NA,NA,NA,2017-09-06 00:27:16
163,"Gardner-Webb @ Wyoming"," 16:00:00","",NA,NA,NA,2017-09-06 00:27:16
166,"New Hampshire @ Georgia Southern"," 18:00:00","",NA,NA,NA,2017-09-06 00:27:16
