"game_id","matchup","time","favorite","espn_spread","oddshark_spread","update.ts"
93,"Idaho State @ Utah State"," 20:00:00","",NA,NA,NA
94,"Ohio @ Purdue"," 20:00:00","PUR",4,4,"2017-09-06 00:20:31"
95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA,NA,NA
96,"Fresno State @ Alabama"," 15:30:00","ALA",43.5,43.5,"2017-09-06 00:20:31"
97,"Savannah State @ Appalachian State"," 15:30:00","",NA,NA,NA
98,"Houston @ Arizona"," 22:30:00","HOU",1,1.5,"2017-09-06 00:20:31"
99,"San Diego State @ Arizona State"," 23:00:00","ASU",3.5,4,"2017-09-06 00:20:31"
100,"TCU @ Arkansas"," 15:30:00","TCU",3.5,3.5,"2017-09-06 00:20:31"
101,"Miami @ Arkansas State"," 15:30:00","MIAMI",14.5,14.5,"2017-09-06 00:20:31"
102,"UAB @ Ball State"," 15:00:00","BALL",14.5,14,"2017-09-06 00:20:31"
103,"UT San Antonio @ Baylor"," 20:00:00","BAY",16.5,16.5,"2017-09-06 00:20:31"
104,"Wake Forest @ Boston College"," 13:00:00","BC",1.5,1.5,"2017-09-06 00:20:31"
105,"South Dakota @ Bowling Green"," 18:00:00","",NA,NA,NA
106,"Utah @ BYU"," 22:15:00","UTAH",1.5,NA,NA
107,"Weber State @ California"," 17:00:00","",NA,NA,NA
108,"Auburn @ Clemson"," 19:00:00","CLEM",4.5,5.5,"2017-09-06 00:20:31"
109,"Texas State @ Colorado"," 14:00:00","COLO",35.5,35,"2017-09-06 00:20:31"
110,"Abilene Christian @ Colorado State"," 15:30:00","",NA,NA,NA
111,"South Florida @ Connecticut"," 12:00:00","USF",17.5,17.5,"2017-09-06 00:20:31"
112,"Northwestern @ Duke"," 12:00:00","NW",3,3.5,"2017-09-06 00:20:31"
113,"Alcorn State @ Florida Intl"," 19:30:00","",NA,NA,NA
114,"Northern Colorado @ Florida"," 19:30:00","",NA,NA,NA
115,"Louisiana Monroe @ Florida State"," 19:00:00","FSU",33.5,32,"2017-09-06 00:20:31"
116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA,NA,NA
117,"UNLV @ Idaho"," 19:00:00","IDHO",6.5,6,"2017-09-06 00:20:31"
118,"Western Kentucky @ Illinois"," 20:00:00","WKU",7.5,7.5,"2017-09-06 00:20:31"
119,"Iowa @ Iowa State"," 12:00:00","IOWA",2.5,2.5,"2017-09-06 00:20:31"
120,"Central Michigan @ Kansas"," 16:00:00","KU",6,6,"2017-09-06 00:20:31"
121,"Charlotte @ Kansas State"," 12:00:00","KSU",36.5,36,"2017-09-06 00:20:31"
122,"Howard @ Kent State"," 15:30:00","",NA,NA,NA
123,"Eastern Kentucky @ Kentucky"," 12:00:00","",NA,NA,NA
124,"Chattanooga @ LSU"," 19:30:00","",NA,NA,NA
125,"Towson @ Maryland"," 12:00:00","",NA,NA,NA
126,"Austin Peay @ Miami (OH)"," 15:30:00","",NA,NA,NA
127,"Cincinnati @ Michigan"," 12:00:00","MICH",34,34.5,"2017-09-06 00:20:31"
128,"Western Michigan @ Michigan State"," 15:30:00","MSU",7,7,"2017-09-06 00:20:31"
129,"South Carolina @ Missouri"," 19:00:00","MIZ",2.5,2.5,"2017-09-06 00:20:31"
130,"Marshall @ NC State"," 18:00:00","NCST",24.5,24,"2017-09-06 00:20:31"
131,"Toledo @ Nevada"," 19:00:00","TOL",9.5,9.5,"2017-09-06 00:20:31"
132,"New Mexico State @ New Mexico"," 20:00:00","UNM",7,7,"2017-09-06 00:20:31"
133,"Louisville @ North Carolina"," 12:00:00","LOU",9.5,10,"2017-09-06 00:20:31"
134,"Eastern Illinois @ Northern Illinois"," 15:30:00","",NA,NA,NA
135,"Oklahoma @ Ohio State"," 19:30:00","OSU",7,7.5,"2017-09-06 00:20:31"
