"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
93,"Idaho State @ Utah State",NA,"",NA,35,35,2017-09-09 09:40:07
94,"Ohio @ Purdue",NA,"",NA,3,3,2017-09-09 09:40:07
95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA,55,55,2017-09-09 09:40:07
96,"Fresno State @ Alabama"," 15:30:00","ALA",43.5,44,43.5,2017-09-09 09:40:07
97,"Savannah State @ Appalachian State"," 15:30:00","",NA,51,51,2017-09-09 09:40:07
98,"Houston @ Arizona"," 22:30:00","HOU",1,1,1,2017-09-09 09:40:07
99,"San Diego State @ Arizona State"," 23:00:00","ASU",3,3,3,2017-09-09 09:40:07
100,"TCU @ Arkansas"," 15:30:00","TCU",3,3,3,2017-09-09 09:40:07
102,"UAB @ Ball State"," 15:00:00","BALL",14.5,14.5,14.5,2017-09-09 09:40:07
103,"UT San Antonio @ Baylor"," 20:00:00","BAY",15.5,15.5,15.5,2017-09-09 09:40:07
104,"Wake Forest @ Boston College"," 13:00:00","BC",1.5,NA,1.5,2017-09-09 09:40:07
105,"South Dakota @ Bowling Green"," 18:00:00","",NA,4.5,4.5,2017-09-09 09:40:07
106,"Utah @ BYU"," 22:15:00","UTAH",3,2.5,3,2017-09-09 09:40:07
107,"Weber State @ California"," 17:00:00","",NA,28,28,2017-09-09 09:40:07
108,"Auburn @ Clemson"," 19:00:00","CLEM",5,5,5,2017-09-09 09:40:07
109,"Texas State @ Colorado"," 14:00:00","COLO",36,35.5,36,2017-09-09 09:40:07
110,"Abilene Christian @ Colorado State"," 15:30:00","",NA,45,45,2017-09-09 09:40:07
112,"Northwestern @ Duke"," 12:00:00","NW",2,2.5,2,2017-09-09 09:40:07
116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA,17.5,17.5,2017-09-09 09:40:07
117,"UNLV @ Idaho"," 19:00:00","IDHO",6,6,6,2017-09-09 09:40:07
118,"Western Kentucky @ Illinois"," 20:00:00","WKU",7.5,7.5,7.5,2017-09-09 09:40:07
119,"Iowa @ Iowa State"," 12:00:00","IOWA",3,3,3,2017-09-09 09:40:07
120,"Central Michigan @ Kansas"," 16:00:00","KU",4.5,5,4.5,2017-09-09 09:40:07
121,"Charlotte @ Kansas State"," 12:00:00","KSU",34.5,34.5,34.5,2017-09-09 09:40:07
122,"Howard @ Kent State"," 15:30:00","",NA,35,35,2017-09-09 09:40:07
123,"Eastern Kentucky @ Kentucky"," 12:00:00","",NA,40,40,2017-09-09 09:40:07
124,"Chattanooga @ LSU"," 19:30:00","",NA,31.5,31.5,2017-09-09 09:40:07
125,"Towson @ Maryland"," 12:00:00","",NA,28,28,2017-09-09 09:40:07
126,"Austin Peay @ Miami (OH)"," 15:30:00","",NA,36.5,36.5,2017-09-09 09:40:07
127,"Cincinnati @ Michigan"," 12:00:00","MICH",34,33.5,34,2017-09-09 09:40:07
128,"Western Michigan @ Michigan State"," 15:30:00","MSU",7.5,7.5,7.5,2017-09-09 09:40:07
129,"South Carolina @ Missouri"," 19:00:00","MIZ",3,2.5,3,2017-09-09 09:40:07
130,"Marshall @ NC State"," 18:00:00","NCST",23.5,23.5,23.5,2017-09-09 09:40:07
131,"Toledo @ Nevada"," 19:00:00","TOL",11,10.5,11,2017-09-09 09:40:07
132,"New Mexico State @ New Mexico"," 20:00:00","UNM",7.5,7,7.5,2017-09-09 09:40:07
133,"Louisville @ North Carolina"," 12:00:00","LOU",9.5,10,9.5,2017-09-09 09:40:07
134,"Eastern Illinois @ Northern Illinois"," 15:30:00","",NA,17,17,2017-09-09 09:40:07
135,"Oklahoma @ Ohio State"," 19:30:00","OSU",7.5,7.5,7.5,2017-09-09 09:40:07
136,"UT Martin @ Ole Miss"," 12:00:00","",NA,31.5,31.5,2017-09-09 09:40:07
137,"Nebraska @ Oregon"," 16:30:00","ORE",13,14,13,2017-09-09 09:40:07
138,"Minnesota @ Oregon State"," 22:00:00","ORST",2,2,2,2017-09-09 09:40:07
139,"Pittsburgh @ Penn State"," 15:30:00","PSU",21,21,21,2017-09-09 09:40:07
140,"Eastern Michigan @ Rutgers"," 15:30:00","RUTG",5,5.5,5,2017-09-09 09:40:07
141,"North Texas @ SMU"," 19:00:00","SMU",14,13.5,14,2017-09-09 09:40:07
142,"Oklahoma State @ South Alabama",NA,"",NA,28,28,2017-09-09 09:40:07
143,"Southern @ Southern Mississippi"," 19:00:00","",NA,24,24,2017-09-09 09:40:07
144,"Middle Tennessee @ Syracuse"," 15:30:00","SYR",10,10.5,10,2017-09-09 09:40:07
145,"Villanova @ Temple"," 15:30:00","",NA,10,10,2017-09-09 09:40:07
146,"Indiana State @ Tennessee"," 16:00:00","",NA,37.5,37.5,2017-09-09 09:40:07
147,"San José State @ Texas"," 15:30:00","TEX",25,26,25,2017-09-09 09:40:07
148,"Nicholls @ Texas A&M"," 19:00:00","",NA,39,39,2017-09-09 09:40:07
149,"Alabama State @ Troy"," 18:00:00","",NA,43.5,43.5,2017-09-09 09:40:07
150,"Louisiana @ Tulsa"," 16:00:00","TLSA",14.5,13.5,14.5,2017-09-09 09:40:07
152,"Hawai'i @ UCLA"," 17:00:00","UCLA",23.5,23.5,23.5,2017-09-09 09:40:07
153,"Old Dominion @ UMass"," 15:30:00","ODU",3.5,3.5,3.5,2017-09-09 09:40:07
154,"Stanford @ USC"," 20:30:00","USC",6,5.5,6,2017-09-09 09:40:07
155,"Rice @ UTEP"," 20:00:00","UTEP",1.5,1,1.5,2017-09-09 09:40:07
156,"Alabama A&M @ Vanderbilt"," 16:00:00","",NA,50,50,2017-09-09 09:40:07
157,"Indiana @ Virginia"," 15:30:00","IND",3.5,3.5,3.5,2017-09-09 09:40:07
158,"Delaware @ Virginia Tech"," 15:30:00","",NA,41.5,41.5,2017-09-09 09:40:07
159,"Montana @ Washington"," 20:00:00","",NA,40,40,2017-09-09 09:40:07
160,"Boise State @ Washington State"," 22:30:00","WSU",10,10,10,2017-09-09 09:40:07
