"matchup","game_id","oddshark_spread"
"Air ForceMichigan",NA,26.5
"Alabama A&MSouth Alabama",NA,NA
"Appalachian StateTexas State",NA,24
"Arizona StateTexas Tech",NA,7
"ArizonaUTEP",NA,20.5
"Arkansas-Pine BluffArkansas State",NA,NA
"ArmyOhio State",NA,30
"BaylorDuke",NA,13.5
"Bethune-CookmanFlorida Atlantic",NA,NA
"Bowling GreenNorthwestern",NA,22
"Central MichiganSyracuse",NA,11
"CincinnatiMiami-OH",NA,5
"ClemsonLouisville",NA,3
"Coastal CarolinaUAB",NA,2
"ColgateBuffalo",NA,NA
"Colorado StateAlabama",NA,27.5
"Delaware StateWest Virginia",NA,NA
"FIUIndiana",NA,25
"Fresno StateWashington",NA,33.5
"FurmanNC State",NA,NA
"Georgia StatePenn State",NA,38
"Georgia TechUCF",NA,1
"Idaho StateNevada",NA,NA
"IdahoWestern Michigan",NA,16.5
"IllinoisUSF",NA,17
"Iowa StateAkron",NA,8.5
"Kansas StateVanderbilt",NA,3
"KansasOhio",NA,9
"Kent StateMarshall",NA,13.5
"KentuckySouth Carolina",NA,6.5
"LA TechWKU",NA,7
"Louisiana-LafayetteTexas A&M",NA,23
"LSUMississippi State",NA,6.5
"MassachusettsTemple",NA,12.5
"MercerAuburn",NA,NA
"Miami-FLFlorida State",NA,NA
"Middle TennesseeMinnesota",NA,8.5
"Morgan StateRutgers",NA,NA
"New MexicoBoise State",NA,15.5
"NIUNebraska",NA,14
"North Carolina A&TCharlotte",NA,NA
"North CarolinaOld Dominion",NA,7.5
"North TexasIowa",NA,23.5
"Northern ColoradoColorado",NA,NA
"Notre DameBoston College",NA,13
"Oklahoma StatePittsburgh",NA,13
"Ole MissCalifornia",NA,3.5
"Oregon StateWashington State",NA,18
"OregonWyoming",NA,13
"PurdueMissouri",NA,7.5
"RiceHouston",NA,21.5
"SamfordGeorgia",NA,NA
"San Jose StateUtah",NA,26
"SMUTCU",NA,17.5
"Southern MissLouisiana-Monroe",NA,6
"Southern UniversityUTSA",NA,NA
"StanfordSan Diego State",NA,9
"Tennessee TechBall State",NA,NA
"TennesseeFlorida",NA,5
"TexasUSC",NA,16.5
"TroyNew Mexico State",NA,6
"TulaneOklahoma",NA,34.5
"TulsaToledo",NA,8
"UCLAMemphis",NA,3.5
"UCONNVirginia",NA,10
"Utah StateWake Forest",NA,13.5
"Virginia TechEast Carolina",NA,21.5
"WisconsinBYU",NA,13.5
