"egame_id","game_id","away_team","away_score","home_team","home_score","favorite","final_spread","status","winner","is.upset","update.ts"
400933841,96,"FRES",10,"ALA",41,"ALA",43,"Final","ALA",0,2017-09-10 21:01:34
400933842,100,"TCU",28,"ARK",7,"TCU",3,"Final","TCU",0,2017-09-10 21:01:34
400933843,108,"AUB",6,"CLEM",14,"CLEM",6,"Final","CLEM",0,2017-09-10 21:01:34
400933845,169,"UGA",20,"ND",19,"ND",5.5,"Final","UGA",1,2017-09-10 21:01:34
400933846,123,"EKY",16,"UK",27,"UK",34.5,"Final","UK",0,2017-09-10 21:01:34
400933847,124,"CHAT",10,"LSU",45,"LSU",35.5,"Final","LSU",0,2017-09-10 21:01:34
400933848,136,"UTM",23,"MISS",45,"MISS",32.5,"Final","MISS",0,2017-09-10 21:01:34
400933849,168,"MSST",57,"LT",21,"MSST",10.5,"Final","MSST",0,2017-09-10 21:01:34
400933850,129,"SC",31,"MIZ",13,"MIZ",3,"Final","SC",1,2017-09-10 21:01:34
400933851,146,"INST",7,"TENN",42,"TENN",37,"Final","TENN",0,2017-09-10 21:01:34
400933852,148,"NICH",14,"TA&M",24,"TA&M",36.5,"Final","TA&M",0,2017-09-10 21:01:34
400933853,156,"AAMU",0,"VAN",42,"VAN",48.5,"Final","VAN",0,2017-09-10 21:01:34
400934498,103,"UTSA",17,"BAY",10,"BAY",11.5,"Final","UTSA",1,2017-09-10 21:01:34
400934499,119,"IOWA",6,"ISU",3,"IOWA",3.5,"Final/OT","IOWA",0,2017-09-10 21:01:34
400934500,120,"CMU",45,"KU",27,"KU",3,"Final","CMU",1,2017-09-10 21:01:34
400934501,121,"CHAR",7,"KSU",55,"KSU",34,"Final","KSU",0,2017-09-10 21:01:34
400934502,135,"OKLA",31,"OSU",16,"OSU",7.5,"Final","OKLA",1,2017-09-10 21:01:34
400934503,142,"OKST",44,"USA",7,"OKST",28,"Final","OKST",0,2017-09-10 21:01:34
400934504,147,"SJSU",0,"TEX",56,"TEX",26.5,"Final","TEX",0,2017-09-10 21:01:34
400934505,161,"ECU",20,"WVU",56,"WVU",25.5,"Final","WVU",0,2017-09-10 21:01:34
400934562,164,"BUFF",17,"ARMY",21,"ARMY",15.5,"Final","ARMY",0,2017-09-10 21:01:34
400935239,94,"OHIO",21,"PUR",44,"PUR",3,"Final","PUR",0,2017-09-10 21:01:34
400935240,112,"NW",17,"DUKE",41,"NW",1.5,"Final","DUKE",1,2017-09-10 21:01:34
400935241,118,"WKU",7,"ILL",20,"WKU",6.5,"Final","ILL",1,2017-09-10 21:01:34
400935242,125,"TOWS",17,"MD",63,"MD",34,"Final","MD",0,2017-09-10 21:01:34
400935243,127,"CIN",14,"MICH",36,"MICH",31.5,"Final","MICH",0,2017-09-10 21:01:34
400935244,128,"WMU",14,"MSU",28,"MSU",7,"Final","MSU",0,2017-09-10 21:01:34
400935245,139,"PITT",14,"PSU",33,"PSU",20,"Final","PSU",0,2017-09-10 21:01:34
400935246,140,"EMU",16,"RUTG",13,"RUTG",6,"Final","EMU",1,2017-09-10 21:01:34
400935258,98,"HOU",19,"ARIZ",16,"HOU",1.5,"Final","HOU",0,2017-09-10 21:01:34
400935259,99,"SDSU",30,"ASU",20,"ASU",2.5,"Final","SDSU",1,2017-09-10 21:01:34
400935260,154,"STAN",24,"USC",42,"USC",4.5,"Final","USC",0,2017-09-10 21:01:34
