"egame_id","game_id","away_team","away_score","home_team","home_score","favorite","final_spread","status","winner","is.upset","update.ts"
400933845,169,"UGA",20,"ND",19,"ND",5.5,"Final","UGA",1,2017-09-10 21:01:34
400933850,129,"SC",31,"MIZ",13,"MIZ",3,"Final","SC",1,2017-09-10 21:01:34
400934498,103,"UTSA",17,"BAY",10,"BAY",11.5,"Final","UTSA",1,2017-09-10 21:01:34
400934500,120,"CMU",45,"KU",27,"KU",3,"Final","CMU",1,2017-09-10 21:01:34
400934502,135,"OKLA",31,"OSU",16,"OSU",7.5,"Final","OKLA",1,2017-09-10 21:01:34
400935240,112,"NW",17,"DUKE",41,"NW",1.5,"Final","DUKE",1,2017-09-10 21:01:34
400935241,118,"WKU",7,"ILL",20,"WKU",6.5,"Final","ILL",1,2017-09-10 21:01:34
400935246,140,"EMU",16,"RUTG",13,"RUTG",6,"Final","EMU",1,2017-09-10 21:01:34
400935259,99,"SDSU",30,"ASU",20,"ASU",2.5,"Final","SDSU",1,2017-09-10 21:01:34
400935265,138,"MINN",48,"ORST",14,"ORST",2.5,"Final","MINN",1,2017-09-10 21:01:34
400937453,104,"WAKE",34,"BC",10,"BC",1.5,"Final","WAKE",1,2017-09-10 21:01:34
400937459,144,"MTSU",30,"SYR",23,"SYR",7.5,"Final","MTSU",1,2017-09-10 21:01:34
400938603,155,"RICE",31,"UTEP",14,"UTEP",1,"Final","RICE",1,2017-09-10 21:01:34
400944832,166,"UNH",22,"GASO",12,"GASO",7.5,"Final","UNH",1,2017-09-10 21:01:34
400944833,117,"UNLV",44,"IDHO",16,"IDHO",4.5,"Final","UNLV",1,2017-09-10 21:01:34
400944834,132,"NMSU",30,"UNM",28,"UNM",7.5,"Final","NMSU",1,2017-09-10 21:01:34
400944897,105,"SDAK",35,"BGSU",27,"BGSU",3.5,"Final","SDAK",1,2017-09-10 21:01:34
