"away","home","away_spread","home_spread","timestamp"
"OREGST","COLOST","+3.5","-3.5",2017-08-18 22:12:48
"PORTST","BYU","","",2017-08-18 22:12:48
"HAWAII","MASS","EV","EV",2017-08-18 22:12:48
"USF","SJ.ST","-20","+20",2017-08-18 22:12:48
"STANFO","RICE","-31","+31",2017-08-18 22:12:48
"FIU","UCF","+17","-17",2017-08-18 22:12:48
"PRESBYT","WAKE","","",2017-08-18 22:12:48
"RHODEI","CMICH","","",2017-08-18 22:12:48
"BUFF","MINN","+26.5","-26.5",2017-08-18 22:12:48
"ELON","TOLEDO","","",2017-08-18 22:12:48
"AUST","CINCIN","","",2017-08-18 22:12:48
"TN.ST","GA.ST","","",2017-08-18 22:12:48
"NDKOTA","UTAH","","",2017-08-18 22:12:48
"HOLYC","UCONN","","",2017-08-18 22:12:48
"TULSA","OKLAST","+17","-17",2017-08-18 22:12:48
"OHIOST","INDIAN","-20","+20",2017-08-18 22:12:48
"FLAA&M","ARK","","",2017-08-18 22:12:48
"SAC.ST","IDAHO","","",2017-08-18 22:12:48
"UL.MON","MEMPHS","+27","-27",2017-08-18 22:12:48
"NMEXST","ARIZST","+23.5","-23.5",2017-08-18 22:12:48
"FORDHM","ARMY","","",2017-08-18 22:12:48
"CHARLT","E.MICH","+13.5","-13.5",2017-08-18 22:12:48
"CCONN","SYRACU","","",2017-08-18 22:12:48
"WASH","RUTGER","-30.5","+30.5",2017-08-18 22:12:48
"COLOST","COLO","+6.5","-6.5",2017-08-18 22:12:48
"NAVY","FLAATL","-13","+13",2017-08-18 22:12:48
"UTAHST","WISCSN","+28.5","-28.5",2017-08-18 22:12:48
"BOST.C","NIU","-2.5","+2.5",2017-08-18 22:12:48
"KENT","CLEM","+38.5","-38.5",2017-08-18 22:12:48
"AKRON","PENNST","+33","-33",2017-08-18 22:12:48
"MIZ.ST","MIZZOU","","",2017-08-18 22:12:48
"MARYL","TEXAS","+17","-17",2017-08-18 22:12:48
"WYO","IOWA","+12.5","-12.5",2017-08-18 22:12:48
"BALLST","ILLINO","+7.5","-7.5",2017-08-18 22:12:48
"BGREEN","MICHST","+18","-18",2017-08-18 22:12:48
"CAL","UNC","+11","-11",2017-08-18 22:12:48
"BTHUN","MI-FL","","",2017-08-18 22:12:48
"YOUNG","PITT","","",2017-08-18 22:12:48
"PORTST","OREGST","","",2017-08-18 22:12:48
"VMI","AIRFOR","","",2017-08-18 22:12:48
"S.CARO","NCSU","+5","-5",2017-08-18 22:12:48
"UTEP","OKLA","+44.5","-44.5",2017-08-18 22:12:48
"W&M","VIRGNA","","",2017-08-18 22:12:48
"NEVADA","NWESTN","+23.5","-23.5",2017-08-18 22:12:48
"MICH","FLA","-3","+3",2017-08-18 22:12:48
"TEMPLE","NOTRD","+15","-15",2017-08-18 22:12:48
"ALAAM","UAB","","",2017-08-18 22:12:48
"TROY","BOISE","+12.5","-12.5",2017-08-18 22:12:48
"CHSOU","MIS.ST","","",2017-08-18 22:12:48
"STNYBK","USF","","",2017-08-18 22:12:48
"E.WASH","TXTECH","","",2017-08-18 22:12:48
"KENTUC","S.MISS","-10","+10",2017-08-18 22:12:48
"W.MICH","USC","+27","-27",2017-08-18 22:12:48
"NCCENT","DUKE","","",2017-08-18 22:12:48
"JMSMAD","E.CAR","","",2017-08-18 22:12:48
"ALBNY","OLDDOM","","",2017-08-18 22:12:48
"APP-ST","GEORGI","+14","-14",2017-08-18 22:12:48
"MI-OH","MARSHL","EV","EV",2017-08-18 22:12:48
"LIBERT","BAYLOR","","",2017-08-18 22:12:48
"NW.ST","LATECH","","",2017-08-18 22:12:48
"MASS","CSTCAR","","",2017-08-18 22:12:48
"SE.MIS","KANSAS","","",2017-08-18 22:12:48
"HAMPTON","OHIO","","",2017-08-18 22:12:48
"SE.LOU","UL.LAF","","",2017-08-18 22:12:48
"HOUSTO","UTSA","-13","+13",2017-08-18 22:12:48
"LAMAR","NTEXAS","","",2017-08-18 22:12:48
"HBU","TEX.ST","","",2017-08-18 22:12:48
"E.KENT","WKU","","",2017-08-18 22:12:48
"CENTARK","KAN.ST","","",2017-08-18 22:12:48
"S.ALA","O-MISS","+26","-26",2017-08-18 22:12:48
"LOUISV","PURDUE","-25","+25",2017-08-18 22:12:48
"GASOU","AUBRN","+34.5","-34.5",2017-08-18 22:12:48
"CALPOL","SJ.ST","","",2017-08-18 22:12:48
"N.IOWA","IOWAST","","",2017-08-18 22:12:48
"ARK.ST","NEBR","+16","-16",2017-08-18 22:12:48
"ALAB","FLAST","-7","+7",2017-08-18 22:12:48
"ACU","NEWMEX","","",2017-08-18 22:12:48
"JACKST","TCU","","",2017-08-18 22:12:48
"GRAMB","TULANE","","",2017-08-18 22:12:48
"SFA","SMU","","",2017-08-18 22:12:48
"VANDY","MIDTEN","-5","+5",2017-08-18 22:12:48
"SUTAH","OREG","","",2017-08-18 22:12:48
"CALDAV","SD.ST","","",2017-08-18 22:12:48
"HOWARD","UNLV","","",2017-08-18 22:12:48
"LSU","BYU","-13","+13",2017-08-18 22:12:48
"INWORD","FRESNO","","",2017-08-18 22:12:48
"MONTST","WSHST","","",2017-08-18 22:12:48
"N.ARIZ","ARIZON","","",2017-08-18 22:12:48
