"team","line","underdog","week","timestamp"
"Oregon State",3.5,1,1,2017-08-19 10:50:06
"Colorado State",-3.5,0,1,2017-08-19 10:50:06
"Hawaii",0,0,1,2017-08-19 10:50:06
"Massachusetts",0,0,1,2017-08-19 10:50:06
"Portland State",NA,NA,1,2017-08-19 10:50:06
"BYU",NA,NA,1,2017-08-19 10:50:06
"USF",-20,0,1,2017-08-19 10:50:06
"San Jose State",20,1,1,2017-08-19 10:50:06
"Stanford",-31,0,1,2017-08-19 10:50:06
"Rice",31,1,1,2017-08-19 10:50:06
"FIU",17,1,1,2017-08-19 10:50:06
"UCF",-17,0,1,2017-08-19 10:50:06
"Presbyterian",NA,NA,1,2017-08-19 10:50:06
"Wake Forest",NA,NA,1,2017-08-19 10:50:06
"Tennessee State",NA,NA,1,2017-08-19 10:50:06
"Georgia State",NA,NA,1,2017-08-19 10:50:06
"Austin Peay",NA,NA,1,2017-08-19 10:50:06
"Cincinnati",NA,NA,1,2017-08-19 10:50:06
"Buffalo",26.5,1,1,2017-08-19 10:50:06
"Minnesota",-26.5,0,1,2017-08-19 10:50:06
"Elon",NA,NA,1,2017-08-19 10:50:06
"Toledo",NA,NA,1,2017-08-19 10:50:06
"Rhode Island",NA,NA,1,2017-08-19 10:50:06
"Central Michigan",NA,NA,1,2017-08-19 10:50:06
"Holy Cross",NA,NA,1,2017-08-19 10:50:06
"UCONN",NA,NA,1,2017-08-19 10:50:06
"Tulsa",17,1,1,2017-08-19 10:50:06
"Oklahoma State",-17,0,1,2017-08-19 10:50:06
"North Dakota",NA,NA,1,2017-08-19 10:50:06
"Utah",NA,NA,1,2017-08-19 10:50:06
"Ohio State",-20,0,1,2017-08-19 10:50:06
"Indiana",20,1,1,2017-08-19 10:50:06
"Florida A&M",NA,NA,1,2017-08-19 10:50:06
"Arkansas",NA,NA,1,2017-08-19 10:50:06
"Sacramento State",NA,NA,1,2017-08-19 10:50:06
"Idaho",NA,NA,1,2017-08-19 10:50:06
"Louisiana-Monroe",27,1,1,2017-08-19 10:50:06
"Memphis",-27,0,1,2017-08-19 10:50:06
"New Mexico State",23.5,1,1,2017-08-19 10:50:06
"Arizona State",-23.5,0,1,2017-08-19 10:50:06
"Fordham",NA,NA,1,2017-08-19 10:50:06
"Army",NA,NA,1,2017-08-19 10:50:06
"Charlotte",13.5,1,1,2017-08-19 10:50:06
"Eastern Michigan",-13.5,0,1,2017-08-19 10:50:06
"Central Connecticut State",NA,NA,1,2017-08-19 10:50:06
"Syracuse",NA,NA,1,2017-08-19 10:50:06
"Washington",-30.5,0,1,2017-08-19 10:50:06
"Rutgers",30.5,1,1,2017-08-19 10:50:06
"Colorado State",6.5,1,1,2017-08-19 10:50:06
"Colorado",-6.5,0,1,2017-08-19 10:50:06
"Navy",-13,0,1,2017-08-19 10:50:06
"Florida Atlantic",13,1,1,2017-08-19 10:50:06
"Utah State",28.5,1,1,2017-08-19 10:50:06
"Wisconsin",-28.5,0,1,2017-08-19 10:50:06
"Boston College",-2.5,0,1,2017-08-19 10:50:06
"NIU",2.5,1,1,2017-08-19 10:50:06
"Missouri State",NA,NA,1,2017-08-19 10:50:06
"Missouri",NA,NA,1,2017-08-19 10:50:06
"Maryland",17,1,1,2017-08-19 10:50:06
"Texas",-17,0,1,2017-08-19 10:50:06
"Ball State",7.5,1,1,2017-08-19 10:50:06
"Illinois",-7.5,0,1,2017-08-19 10:50:06
"Bowling Green",18,1,1,2017-08-19 10:50:06
"Michigan State",-18,0,1,2017-08-19 10:50:06
"Kent State",38.5,1,1,2017-08-19 10:50:06
"Clemson",-38.5,0,1,2017-08-19 10:50:06
"Akron",33,1,1,2017-08-19 10:50:06
