"game_id","espn_spread","oddshark_spread","update_ts"
1,36,36,"2017-08-26 13:07:37"
3,4,4,"2017-08-26 13:07:37"
5,30.5,30.5,"2017-08-26 13:07:37"
6,23.5,23.5,"2017-08-26 13:07:37"
7,NA,NA,"2017-08-26 13:07:37"
8,NA,NA,"2017-08-26 13:07:37"
10,NA,NA,"2017-08-26 13:07:37"
11,20.5,20.5,"2017-08-26 13:07:37"
13,26,25.5,"2017-08-26 13:07:37"
14,NA,NA,"2017-08-26 13:07:37"
15,NA,NA,"2017-08-26 13:07:37"
17,NA,NA,"2017-08-26 13:07:37"
18,NA,NA,"2017-08-26 13:07:37"
19,14,14,"2017-08-26 13:07:37"
21,30.5,30.5,"2017-08-26 13:07:37"
23,28,28,"2017-08-26 13:07:37"
24,NA,6.5,"2017-08-26 13:07:37"
25,NA,NA,"2017-08-26 13:07:37"
26,11,10.5,"2017-08-26 13:07:37"
27,NA,NA,"2017-08-26 13:07:37"
28,NA,NA,"2017-08-26 13:07:37"
29,34.5,34.5,"2017-08-26 13:07:37"
30,NA,NA,"2017-08-26 13:07:37"
31,12,11,"2017-08-26 13:07:37"
32,38.5,38.5,"2017-08-26 13:07:37"
34,NA,NA,"2017-08-26 13:07:37"
35,NA,NA,"2017-08-26 13:07:37"
36,NA,NA,"2017-08-26 13:07:37"
37,14,13.5,"2017-08-26 13:07:37"
39,7,7.5,"2017-08-26 13:07:37"
40,12.5,12.5,"2017-08-26 13:07:37"
41,NA,NA,"2017-08-26 13:07:37"
42,NA,NA,"2017-08-26 13:07:37"
43,NA,NA,"2017-08-26 13:07:37"
48,18,18,"2017-08-26 13:07:37"
49,NA,NA,"2017-08-26 13:07:37"
50,NA,NA,"2017-08-26 13:07:37"
51,16.5,16.5,"2017-08-26 13:07:37"
52,NA,NA,"2017-08-26 13:07:37"
53,11.5,11,"2017-08-26 13:07:37"
54,NA,NA,"2017-08-26 13:07:37"
55,24.5,24,"2017-08-26 13:07:37"
56,1,44.5,"2017-08-26 13:07:37"
57,17,17,"2017-08-26 13:07:37"
59,24,24,"2017-08-26 13:07:37"
60,NA,NA,"2017-08-26 13:07:37"
61,NA,NA,"2017-08-26 13:07:37"
62,32,33,"2017-08-26 13:07:37"
63,NA,NA,"2017-08-26 13:07:37"
65,NA,NA,"2017-08-26 13:07:37"
66,NA,NA,"2017-08-26 13:07:37"
67,17.5,17,"2017-08-26 13:07:37"
68,NA,NA,"2017-08-26 13:07:37"
69,NA,NA,"2017-08-26 13:07:37"
70,NA,NA,"2017-08-26 13:07:37"
72,NA,NA,"2017-08-26 13:07:37"
73,28,27,"2017-08-26 13:07:37"
76,NA,NA,"2017-08-26 13:07:37"
77,NA,NA,"2017-08-26 13:07:37"
79,4,4,"2017-08-26 13:07:37"
82,25,26.5,"2017-08-26 13:07:37"
84,NA,NA,"2017-08-26 13:07:37"
85,17,17,"2017-08-26 13:07:37"
88,4,5,"2017-08-26 13:07:37"
89,NA,NA,"2017-08-26 13:07:37"
90,3.5,3,"2017-08-26 13:07:37"
91,4.5,4.5,"2017-08-26 13:07:37"
92,3.5,4,"2017-08-26 13:07:37"
