"egame_id","game_id","away","home","away_short","home_short","away_score","home_score","time","favorite","espn_spread","update_ts"
400945031,1,"Portland State","BYU","PRST","BYU",6,17,"","",NA,2017-08-26 17:58:13
400938887,2,"Hawai'i","UMass","HAW","UMASS",NA,NA,"6:00 PM ","UMASS",2.5,2017-08-26 17:58:13
400935282,3,"Oregon State","Colorado State","ORST","CSU",27,44,"","",NA,2017-08-26 17:58:13
400941786,4,"South Florida","San José State","USF","SJSU",NA,NA,"7:30 PM ","USF",21.5,2017-08-26 17:58:13
400935257,5,"Stanford","Rice","STAN","RICE",NA,NA,"10:00 PM ","STAN",30.5,2017-08-26 17:58:13
400935247,6,"New Mexico State","Arizona State","NMSU","ASU",NA,NA,"10:30 PM ","ASU",23.5,2017-08-26 17:58:13
400944890,7,"Rhode Island","Central Michigan","URI","CMU",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400941787,8,"Austin Peay","Cincinnati","PEAY","CIN",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400941788,9,"Holy Cross","Connecticut","HC","CONN",NA,NA,"7:30 PM ","",NA,2017-08-26 17:58:13
400944826,10,"Tennessee State","Georgia State","TNST","GAST",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400935229,11,"Ohio State","Indiana","OSU","IND",NA,NA,"8:00 PM ","OSU",20.5,2017-08-26 17:58:13
400941789,12,"Louisiana Monroe","Memphis","ULM","MEM",NA,NA,"9:00 PM ","MEM",27,2017-08-26 17:58:13
400935230,13,"Buffalo","Minnesota","BUFF","MINN",NA,NA,"7:00 PM ","MINN",26,2017-08-26 17:58:13
400944889,14,"Elon","Toledo","ELON","TOL",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400935248,15,"North Dakota","Utah","UND","UTAH",NA,NA,"7:30 PM ","",NA,2017-08-26 17:58:13
400937445,16,"Presbyterian College","Wake Forest","PRE","WAKE",NA,NA,"6:30 PM ","",NA,2017-08-26 17:58:13
400933828,17,"Florida A&M","Arkansas","FAMU","ARK",NA,NA,"8:00 PM ","",NA,2017-08-26 17:58:13
400944827,18,"Sacramento State","Idaho","SAC","IDHO",NA,NA,"9:00 PM ","",NA,2017-08-26 17:58:13
400944891,19,"Charlotte","Eastern Michigan","CHAR","EMU",NA,NA,"6:30 PM ","EMU",14,2017-08-26 17:58:13
400937446,20,"Boston College","Northern Illinois","BC","NIU",NA,NA,"9:30 PM ","BC",2.5,2017-08-26 17:58:13
400935250,21,"Washington","Rutgers","WASH","RUTG",NA,NA,"8:00 PM ","WASH",30.5,2017-08-26 17:58:13
400937451,22,"Central Connecticut","Syracuse","CCSU","SYR",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400935231,23,"Utah State","Wisconsin","USU","WIS",NA,NA,"9:00 PM ","WIS",28,2017-08-26 17:58:13
400935249,24,"Colorado State","Colorado","CSU","COLO",NA,NA,"8:00 PM ","",NA,2017-08-26 17:58:13
400934570,25,"Fordham","Army","FOR","ARMY",NA,NA,"6:00 PM ","",NA,2017-08-26 17:58:13
400938592,26,"Navy","Florida Atlantic","NAVY","FAU",NA,NA,"8:00 PM ","NAVY",11,2017-08-26 17:58:13
400945246,27,"VMI","Air Force","VMI","AFA",NA,NA,"2:00 PM ","",NA,2017-08-26 17:58:13
400935251,28,"Northern Arizona","Arizona","NAU","ARIZ",NA,NA,"11:00 PM ","",NA,2017-08-26 17:58:13
400933829,29,"Georgia Southern","Auburn","GASO","AUB",NA,NA,"7:30 PM ","AUB",34.5,2017-08-26 17:58:13
400934489,30,"Liberty","Baylor","LIB","BAY",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400944830,31,"Troy","Boise State","TROY","BSU",NA,NA,"3:45 PM ","BSU",12,2017-08-26 17:58:13
400937447,32,"Kent State","Clemson","KENT","CLEM",NA,NA,"12:00 PM ","CLEM",38.5,2017-08-26 17:58:13
400938888,33,"UMass","Coastal Carolina","UMASS","CCU",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400937448,34,"North Carolina Central","Duke","NCCU","DUKE",NA,NA,"6:00 PM ","",NA,2017-08-26 17:58:13
400941790,35,"James Madison","East Carolina","JMU","ECU",NA,NA,"6:00 PM ","",NA,2017-08-26 17:58:13
400945248,36,"Incarnate Word","Fresno State","IW","FRES",NA,NA,"10:00 PM ","",NA,2017-08-26 17:58:13
400933831,37,"Appalachian State","Georgia","APP","UGA",NA,NA,"6:15 PM ","UGA",14,2017-08-26 17:58:13
400945249,38,"Western Carolina","Hawai'i","WCU","HAW",NA,NA,"11:59 PM ","",NA,2017-08-26 17:58:13
400935232,39,"Ball State","Illinois","BALL","ILL",NA,NA,"12:00 PM ","ILL",7,2017-08-26 17:58:13
400935233,40,"Wyoming","Iowa","WYO","IOWA",NA,NA,"12:00 PM ","IOWA",12.5,2017-08-26 17:58:13
400934488,41,"Northern Iowa","Iowa State","UNI","ISU",NA,NA,"8:00 PM ","",NA,2017-08-26 17:58:13
400934490,42,"Southeast Missouri State","Kansas","SEMO","KU",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400934491,43,"Central Arkansas","Kansas State","UCA","KSU",NA,NA,"7:10 PM ","",NA,2017-08-26 17:58:13
400944828,44,"Southeastern Louisiana","Louisiana","SELA","ULL",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400938593,45,"Northwestern State","Louisiana Tech","NWST","LT",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
