"game_id","date","time","favorite","espn_spread","oddshark_spread","update_ts"
1,"","","",NA,36.5,2017-08-29 01:49:25
2,"","","",NA,NA,2017-08-29 01:49:25
3,"","","",NA,3.5,2017-08-29 01:49:25
4,"","","",NA,NA,2017-08-29 01:49:25
5,"","","",NA,30,2017-08-29 01:49:25
71,"2017-08-31","3:00 PM PT","UCF",17,NA,2017-08-29 01:49:25
16,"2017-08-31","3:30 PM PT","",NA,NA,2017-08-29 01:49:25
7,"2017-08-31","4:00 PM PT","",NA,NA,2017-08-29 01:49:25
8,"2017-08-31","4:00 PM PT","",NA,NA,2017-08-29 01:49:25
10,"2017-08-31","4:00 PM PT","",NA,NA,2017-08-29 01:49:25
13,"2017-08-31","4:00 PM PT","MINN",26,24.5,2017-08-29 01:49:25
14,"2017-08-31","4:00 PM PT","",NA,NA,2017-08-29 01:49:25
9,"2017-08-31","4:30 PM PT","",NA,NA,2017-08-29 01:49:25
15,"2017-08-31","4:30 PM PT","",NA,NA,2017-08-29 01:49:25
57,"2017-08-31","4:30 PM PT","OKST",18,17.5,2017-08-29 01:49:25
25,"2017-09-01","3:00 PM PT","",NA,NA,2017-08-29 01:49:25
19,"2017-09-01","3:30 PM PT","EMU",13.5,13.5,2017-08-29 01:49:25
22,"2017-09-01","4:00 PM PT","",NA,NA,2017-08-29 01:49:25
11,"2017-09-01","5:00 PM PT","OSU",20,21,2017-08-29 01:49:25
17,"2017-09-01","5:00 PM PT","",NA,NA,2017-08-29 01:49:25
12,"2017-09-01","6:00 PM PT","MEM",26,NA,2017-08-29 01:49:25
18,"2017-09-01","6:00 PM PT","",NA,NA,2017-08-29 01:49:25
6,"2017-09-01","7:30 PM PT","ASU",23,22,2017-08-29 01:49:25
49,"2017-09-02","1:00 PM PT","",NA,NA,2017-08-29 01:49:25
69,"2017-09-02","1:00 PM PT","",NA,NA,2017-08-29 01:49:25
74,"2017-09-02","1:00 PM PT","",NA,NA,2017-08-29 01:49:25
86,"2017-09-02","1:00 PM PT","UK",10,NA,2017-08-29 01:49:25
63,"2017-09-02","10:00 AM PT","",NA,NA,2017-08-29 01:49:25
27,"2017-09-02","11:00 AM PT","",NA,NA,2017-08-29 01:49:25
61,"2017-09-02","11:00 AM PT","",NA,NA,2017-08-29 01:49:25
