"game_id","date","time","home_short","away_short","favorite","espn_spread","oddshark_spread","update_ts"
1,"","","BYU","PRST","",NA,36.5,2017-08-31 02:55:22
2,"","","UMASS","HAW","",NA,NA,2017-08-31 02:55:22
3,"","","CSU","ORST","",NA,3.5,2017-08-31 02:55:22
4,"","","SJSU","USF","",NA,NA,2017-08-31 02:55:22
5,"","","RICE","STAN","",NA,30,2017-08-31 02:55:22
6,"2017-09-01","7:30 PM PT","ASU","NMSU","ASU",22.5,22,2017-08-31 02:55:22
7,"2017-08-31","4:00 PM PT","CMU","URI","",NA,NA,2017-08-31 02:55:22
8,"2017-08-31","4:00 PM PT","CIN","PEAY","",NA,NA,2017-08-31 02:55:22
9,"2017-08-31","4:30 PM PT","CONN","HC","",NA,NA,2017-08-31 02:55:22
10,"2017-08-31","4:00 PM PT","GAST","TNST","",NA,NA,2017-08-31 02:55:22
11,"2017-09-01","5:00 PM PT","IND","OSU","OSU",20.5,21,2017-08-31 02:55:22
12,"2017-09-01","6:00 PM PT","MEM","ULM","MEM",26,NA,2017-08-31 02:55:22
13,"2017-08-31","4:00 PM PT","MINN","BUFF","MINN",24.5,24,2017-08-31 02:55:22
14,"2017-08-31","4:00 PM PT","TOL","ELON","",NA,NA,2017-08-31 02:55:22
15,"2017-08-31","4:30 PM PT","UTAH","UND","",NA,NA,2017-08-31 02:55:22
16,"2017-08-31","3:30 PM PT","WAKE","PRE","",NA,NA,2017-08-31 02:55:22
17,"2017-09-01","5:00 PM PT","ARK","FAMU","",NA,NA,2017-08-31 02:55:22
18,"2017-09-01","6:00 PM PT","IDHO","SAC","",NA,NA,2017-08-31 02:55:22
19,"2017-09-01","3:30 PM PT","EMU","CHAR","EMU",14,14,2017-08-31 02:55:22
20,"2017-09-02","6:30 PM PT","NIU","BC","BC",3.5,NA,2017-08-31 02:55:22
21,"2017-09-02","5:00 PM PT","RUTG","WASH","WASH",27.5,27.5,2017-08-31 02:55:22
22,"2017-09-01","4:00 PM PT","SYR","CCSU","",NA,NA,2017-08-31 02:55:22
23,"2017-09-02","6:00 PM PT","WIS","USU","WIS",27.5,27,2017-08-31 02:55:22
24,"2017-09-02","5:00 PM PT","COLO","CSU","COLO",4.5,3.5,2017-08-31 02:55:22
25,"2017-09-01","3:00 PM PT","ARMY","FOR","",NA,NA,2017-08-31 02:55:22
26,"2017-09-02","5:00 PM PT","FAU","NAVY","NAVY",10,9,2017-08-31 02:55:22
27,"2017-09-02","11:00 AM PT","AFA","VMI","",NA,NA,2017-08-31 02:55:22
28,"2017-09-03","8:00 PM PT","ARIZ","NAU","",NA,NA,2017-08-31 02:55:22
29,"2017-09-02","4:30 PM PT","AUB","GASO","AUB",34.5,34.5,2017-08-31 02:55:22
30,"2017-09-02","4:00 PM PT","BAY","LIB","",NA,NA,2017-08-31 02:55:22
31,"2017-09-02","12:45 PM PT","BSU","TROY","BSU",11,11,2017-08-31 02:55:22
32,"2017-09-02","9:00 AM PT","CLEM","KENT","CLEM",39.5,39.5,2017-08-31 02:55:22
33,"2017-09-02","4:00 PM PT","CCU","UMASS","UMASS",2.5,NA,2017-08-31 02:55:22
34,"2017-09-02","3:00 PM PT","DUKE","NCCU","",NA,NA,2017-08-31 02:55:22
35,"2017-09-02","3:00 PM PT","ECU","JMU","",NA,NA,2017-08-31 02:55:22
36,"2017-09-03","7:00 PM PT","FRES","IW","",NA,NA,2017-08-31 02:55:22
37,"2017-09-02","3:15 PM PT","UGA","APP","UGA",14.5,14,2017-08-31 02:55:22
38,"2017-09-03","8:59 PM PT","HAW","WCU","",NA,NA,2017-08-31 02:55:22
39,"2017-09-02","9:00 AM PT","ILL","BALL","ILL",6.5,6.5,2017-08-31 02:55:22
40,"2017-09-02","9:00 AM PT","IOWA","WYO","IOWA",11.5,11.5,2017-08-31 02:55:22
41,"2017-09-03","5:00 PM PT","ISU","UNI","",NA,NA,2017-08-31 02:55:22
42,"2017-09-02","4:00 PM PT","KU","SEMO","",NA,NA,2017-08-31 02:55:22
43,"2017-09-02","4:10 PM PT","KSU","UCA","",NA,NA,2017-08-31 02:55:22
44,"2017-09-02","4:00 PM PT","ULL","SELA","",NA,NA,2017-08-31 02:55:22
45,"2017-09-02","4:00 PM PT","LT","NWST","",NA,NA,2017-08-31 02:55:22
46,"2017-09-02","3:30 PM PT","MRSH","M-OH","MRSH",2.5,NA,2017-08-31 02:55:22
47,"2017-09-02","9:30 AM PT","MIAMI","BCU","",NA,NA,2017-08-31 02:55:22
48,"2017-09-02","9:00 AM PT","MSU","BGSU","MSU",17,17.5,2017-08-31 02:55:22
49,"2017-09-02","1:00 PM PT","MSST","CHSO","",NA,NA,2017-08-31 02:55:22
50,"2017-09-02","9:00 AM PT","MIZ","MOST","",NA,NA,2017-08-31 02:55:22
51,"2017-09-03","5:00 PM PT","NEB","ARST","NEB",15,14.5,2017-08-31 02:55:22
52,"2017-09-03","5:00 PM PT","UNM","ACU","",NA,NA,2017-08-31 02:55:22
53,"2017-09-02","9:20 AM PT","UNC","CAL","UNC",11.5,12,2017-08-31 02:55:22
54,"2017-09-02","4:00 PM PT","UNT","LAM","",NA,NA,2017-08-31 02:55:22
55,"2017-09-02","12:30 PM PT","NW","NEV","NW",24,24,2017-08-31 02:55:22
56,"2017-09-02","12:30 PM PT","OKLA","UTEP","OKLA",43,43,2017-08-31 02:55:22
57,"2017-08-31","4:30 PM PT","OKST","TLSA","OKST",18,17.5,2017-08-31 02:55:22
58,"2017-09-02","3:00 PM PT","ODU","ALBY","",NA,NA,2017-08-31 02:55:22
59,"2017-09-02","4:30 PM PT","MISS","USA","MISS",24,24,2017-08-31 02:55:22
60,"2017-09-03","5:15 PM PT","ORE","SUU","",NA,NA,2017-08-31 02:55:22
61,"2017-09-02","11:00 AM PT","ORST","PRST","",NA,NA,2017-08-31 02:55:22
62,"2017-09-02","9:00 AM PT","PSU","AKR","PSU",30.5,30,2017-08-31 02:55:22
63,"2017-09-02","10:00 AM PT","PITT","YSU","",NA,NA,2017-08-31 02:55:22
64,"2017-09-02","4:30 PM PT","SJSU","CP","",NA,NA,2017-08-31 02:55:22
65,"2017-09-02","4:00 PM PT","SMU","SFA","",NA,NA,2017-08-31 02:55:22
66,"2017-09-03","5:00 PM PT","TCU","JKST","",NA,NA,2017-08-31 02:55:22
67,"2017-09-02","9:00 AM PT","TEX","MD","TEX",18.5,18.5,2017-08-31 02:55:22
68,"2017-09-02","4:00 PM PT","TXST","HBU","",NA,NA,2017-08-31 02:55:22
69,"2017-09-02","1:00 PM PT","TTU","EWU","",NA,NA,2017-08-31 02:55:22
70,"2017-09-02","12:30 PM PT","UAB","AAMU","",NA,NA,2017-08-31 02:55:22
71,"2017-08-31","3:00 PM PT","UCF","FIU","UCF",17,NA,2017-08-31 02:55:22
72,"2017-09-03","6:00 PM PT","UNLV","HOW","",NA,NA,2017-08-31 02:55:22
73,"2017-09-02","2:15 PM PT","USC","WMU","USC",26.5,26.5,2017-08-31 02:55:22
74,"2017-09-02","1:00 PM PT","USF","STON","",NA,NA,2017-08-31 02:55:22
75,"","","UTSA","HOU","",NA,NA,2017-08-31 02:55:22
76,"2017-09-02","12:30 PM PT","UVA","W&M","",NA,NA,2017-08-31 02:55:22
77,"2017-09-03","7:30 PM PT","WSU","MTST","",NA,NA,2017-08-31 02:55:22
78,"2017-09-02","4:00 PM PT","WKU","EKY","",NA,NA,2017-08-31 02:55:22
79,"2017-09-02","12:30 PM PT","FLA","MICH","MICH",5.5,4.5,2017-08-31 02:55:22
80,"2017-09-03","5:00 PM PT","ALA","FSU","ALA",7,NA,2017-08-31 02:55:22
81,"2017-09-02","12:00 PM PT","SC","NCST","",NA,5,2017-08-31 02:55:22
82,"2017-09-02","4:30 PM PT","PUR","LOU","LOU",24.5,24.5,2017-08-31 02:55:22
83,"2017-09-03","6:30 PM PT","LSU","BYU","LSU",15.5,15.5,2017-08-31 02:55:22
84,"2017-09-02","4:00 PM PT","OHIO","HAMP","",NA,NA,2017-08-31 02:55:22
85,"2017-09-02","12:30 PM PT","ND","TEM","ND",18.5,18.5,2017-08-31 02:55:22
86,"2017-09-02","1:00 PM PT","USM","UK","UK",10,NA,2017-08-31 02:55:22
87,"2017-09-03","5:00 PM PT","TULN","GRAM","",NA,NA,2017-08-31 02:55:22
88,"2017-09-03","5:00 PM PT","MTSU","VAN","VAN",3,3.5,2017-08-31 02:55:22
89,"2017-09-03","5:30 PM PT","SDSU","UCD","",NA,NA,2017-08-31 02:55:22
90,"2017-09-03","4:30 PM PT","UCLA","TA&M","UCLA",3.5,3.5,2017-08-31 02:55:22
91,"2017-09-03","4:30 PM PT","VT","WVU","VT",4,4,2017-08-31 02:55:22
92,"2017-09-05","5:00 PM PT","GT","TENN","TENN",3,3,2017-08-31 02:55:22
