"matchup","game_id","oddshark_spread","update_ts"
"Portland StateBYU",1,36.5,2017-09-01 07:27:44
"Oregon StateColorado State",3,3.5,2017-09-01 07:27:44
"StanfordRice",5,30,2017-09-01 07:27:44
"New Mexico StateArizona State",6,24.5,2017-09-01 07:27:44
"Rhode IslandCentral Michigan",7,34.5,2017-09-01 07:27:44
"Austin PeayCincinnati",8,42,2017-09-01 07:27:44
"Tennessee StateGeorgia State",10,14.5,2017-09-01 07:27:44
"Ohio StateIndiana",11,20.5,2017-09-01 07:27:44
"BuffaloMinnesota",13,22,2017-09-01 07:27:44
"ElonToledo",14,45,2017-09-01 07:27:44
"North DakotaUtah",15,20,2017-09-01 07:27:44
"Florida A&MArkansas",17,47,2017-09-01 07:27:44
"Sacramento StateIdaho",18,21.5,2017-09-01 07:27:44
"CharlotteEastern Michigan",19,14,2017-09-01 07:27:44
"WashingtonRutgers",21,27.5,2017-09-01 07:27:44
"Utah StateWisconsin",23,27.5,2017-09-01 07:27:44
"Colorado StateColorado",24,3.5,2017-09-01 07:27:44
"FordhamArmy",25,20.5,2017-09-01 07:27:44
"NavyFlorida Atlantic",26,10,2017-09-01 07:27:44
"VMIAir Force",27,NA,2017-09-01 07:27:44
"Northern ArizonaArizona",28,NA,2017-09-01 07:27:44
"Georgia SouthernAuburn",29,34.5,2017-09-01 07:27:44
"LibertyBaylor",30,NA,2017-09-01 07:27:44
"TroyBoise State",31,10.5,2017-09-01 07:27:44
"Kent StateClemson",32,39.5,2017-09-01 07:27:44
"North Carolina CentralDuke",34,NA,2017-09-01 07:27:44
"James MadisonEast Carolina",35,NA,2017-09-01 07:27:44
"Incarnate WordFresno State",36,NA,2017-09-01 07:27:44
"Appalachian StateGeorgia",37,14,2017-09-01 07:27:44
"Ball StateIllinois",39,6.5,2017-09-01 07:27:44
"WyomingIowa",40,11.5,2017-09-01 07:27:44
"Northern IowaIowa State",41,NA,2017-09-01 07:27:44
"Southeast Missouri StateKansas",42,NA,2017-09-01 07:27:44
"Central ArkansasKansas State",43,NA,2017-09-01 07:27:44
"Bowling GreenMichigan State",48,17.5,2017-09-01 07:27:44
"Charleston SouthernMississippi State",49,NA,2017-09-01 07:27:44
"Missouri StateMissouri",50,NA,2017-09-01 07:27:44
"Arkansas StateNebraska",51,14.5,2017-09-01 07:27:44
"Abilene ChristianNew Mexico",52,NA,2017-09-01 07:27:44
"CaliforniaNorth Carolina",53,12,2017-09-01 07:27:44
"LamarNorth Texas",54,NA,2017-09-01 07:27:44
"NevadaNorthwestern",55,24,2017-09-01 07:27:44
"UTEPOklahoma",56,43,2017-09-01 07:27:44
"TulsaOklahoma State",57,20,2017-09-01 07:27:44
"South AlabamaOle Miss",59,24,2017-09-01 07:27:44
"Southern UtahOregon",60,NA,2017-09-01 07:27:44
"Portland StateOregon State",61,NA,2017-09-01 07:27:44
"AkronPenn State",62,30.5,2017-09-01 07:27:44
"Youngstown StatePittsburgh",63,NA,2017-09-01 07:27:44
"Stephen F. AustinSMU",65,NA,2017-09-01 07:27:44
"Jackson StateTCU",66,NA,2017-09-01 07:27:44
"MarylandTexas",67,18.5,2017-09-01 07:27:44
"Houston BaptistTexas State",68,NA,2017-09-01 07:27:44
"Eastern WashingtonTexas Tech",69,NA,2017-09-01 07:27:44
"Alabama A&MUAB",70,NA,2017-09-01 07:27:44
"HowardUNLV",72,NA,2017-09-01 07:27:44
"Western MichiganUSC",73,26.5,2017-09-01 07:27:44
"William & MaryVirginia",76,NA,2017-09-01 07:27:44
"Montana StateWashington State",77,NA,2017-09-01 07:27:44
"MichiganFlorida",79,5,2017-09-01 07:27:44
"Florida StateAlabama",80,7,2017-09-01 07:27:44
"South CarolinaNC State",81,5,2017-09-01 07:27:44
"LouisvillePurdue",82,24.5,2017-09-01 07:27:44
"BYULSU",83,15.5,2017-09-01 07:27:44
"HamptonOhio",84,NA,2017-09-01 07:27:44
"TempleNotre Dame",85,18.5,2017-09-01 07:27:44
"VanderbiltMiddle Tennessee",88,3.5,2017-09-01 07:27:44
"UC DavisSan Diego State",89,NA,2017-09-01 07:27:44
"Texas A&MUCLA",90,3.5,2017-09-01 07:27:44
"West VirginiaVirginia Tech",91,4,2017-09-01 07:27:44
"TennesseeGeorgia Tech",92,3,2017-09-01 07:27:44
