"team","line","underdog","week","timestamp"
"Oregon State",3.5,1,1,2017-08-19 11:19:47
"Colorado State",-3.5,0,1,2017-08-19 11:19:47
"Hawaii",0,0,1,2017-08-19 11:19:47
"Massachusetts",0,0,1,2017-08-19 11:19:47
"Portland State",NA,NA,1,2017-08-19 11:19:47
"BYU",NA,NA,1,2017-08-19 11:19:47
"USF",-20,0,1,2017-08-19 11:19:47
"San Jose State",20,1,1,2017-08-19 11:19:47
"Stanford",-31,0,1,2017-08-19 11:19:47
"Rice",31,1,1,2017-08-19 11:19:47
"FIU",17,1,1,2017-08-19 11:19:47
"UCF",-17,0,1,2017-08-19 11:19:47
"Presbyterian",NA,NA,1,2017-08-19 11:19:47
"Wake Forest",NA,NA,1,2017-08-19 11:19:47
"Tennessee State",NA,NA,1,2017-08-19 11:19:47
"Georgia State",NA,NA,1,2017-08-19 11:19:47
"Austin Peay",NA,NA,1,2017-08-19 11:19:47
"Cincinnati",NA,NA,1,2017-08-19 11:19:47
"Buffalo",26.5,1,1,2017-08-19 11:19:47
"Minnesota",-26.5,0,1,2017-08-19 11:19:47
"Elon",NA,NA,1,2017-08-19 11:19:47
"Toledo",NA,NA,1,2017-08-19 11:19:47
"Rhode Island",NA,NA,1,2017-08-19 11:19:47
"Central Michigan",NA,NA,1,2017-08-19 11:19:47
"Holy Cross",NA,NA,1,2017-08-19 11:19:47
"UCONN",NA,NA,1,2017-08-19 11:19:47
"Tulsa",17,1,1,2017-08-19 11:19:47
"Oklahoma State",-17,0,1,2017-08-19 11:19:47
"North Dakota",NA,NA,1,2017-08-19 11:19:47
"Utah",NA,NA,1,2017-08-19 11:19:47
"Ohio State",-20,0,1,2017-08-19 11:19:47
"Indiana",20,1,1,2017-08-19 11:19:47
"Florida A&M",NA,NA,1,2017-08-19 11:19:47
"Arkansas",NA,NA,1,2017-08-19 11:19:47
"Sacramento State",NA,NA,1,2017-08-19 11:19:47
"Idaho",NA,NA,1,2017-08-19 11:19:47
"Louisiana-Monroe",27,1,1,2017-08-19 11:19:47
"Memphis",-27,0,1,2017-08-19 11:19:47
"New Mexico State",23.5,1,1,2017-08-19 11:19:47
"Arizona State",-23.5,0,1,2017-08-19 11:19:47
"Fordham",NA,NA,1,2017-08-19 11:19:47
"Army",NA,NA,1,2017-08-19 11:19:47
"Charlotte",13.5,1,1,2017-08-19 11:19:47
"Eastern Michigan",-13.5,0,1,2017-08-19 11:19:47
"Central Connecticut State",NA,NA,1,2017-08-19 11:19:47
"Syracuse",NA,NA,1,2017-08-19 11:19:47
"Washington",-30.5,0,1,2017-08-19 11:19:47
"Rutgers",30.5,1,1,2017-08-19 11:19:47
"Colorado State",6.5,1,1,2017-08-19 11:19:47
"Colorado",-6.5,0,1,2017-08-19 11:19:47
"Navy",-13,0,1,2017-08-19 11:19:47
"Florida Atlantic",13,1,1,2017-08-19 11:19:47
"Utah State",28.5,1,1,2017-08-19 11:19:47
"Wisconsin",-28.5,0,1,2017-08-19 11:19:47
"Boston College",-2.5,0,1,2017-08-19 11:19:47
"NIU",2.5,1,1,2017-08-19 11:19:47
"Missouri State",NA,NA,1,2017-08-19 11:19:47
"Missouri",NA,NA,1,2017-08-19 11:19:47
"Maryland",17,1,1,2017-08-19 11:19:47
"Texas",-17,0,1,2017-08-19 11:19:47
"Ball State",7.5,1,1,2017-08-19 11:19:47
"Illinois",-7.5,0,1,2017-08-19 11:19:47
"Bowling Green",18,1,1,2017-08-19 11:19:47
"Michigan State",-18,0,1,2017-08-19 11:19:47
"Kent State",38.5,1,1,2017-08-19 11:19:47
"Clemson",-38.5,0,1,2017-08-19 11:19:47
"Akron",33,1,1,2017-08-19 11:19:47
"Penn State",-33,0,1,2017-08-19 11:19:47
"Wyoming",12.5,1,1,2017-08-19 11:19:47
"Iowa",-12.5,0,1,2017-08-19 11:19:47
"California",11,1,1,2017-08-19 11:19:47
"North Carolina",-11,0,1,2017-08-19 11:19:47
"Bethune-Cookman",NA,NA,1,2017-08-19 11:19:47
"Miami-FL",NA,NA,1,2017-08-19 11:19:47
"Youngstown State",NA,NA,1,2017-08-19 11:19:47
"Pittsburgh",NA,NA,1,2017-08-19 11:19:47
"Portland State",NA,NA,1,2017-08-19 11:19:47
"Oregon State",NA,NA,1,2017-08-19 11:19:47
"VMI",NA,NA,1,2017-08-19 11:19:47
"Air Force",NA,NA,1,2017-08-19 11:19:47
"South Carolina",5,1,1,2017-08-19 11:19:47
"NC State",-5,0,1,2017-08-19 11:19:47
"UTEP",44.5,1,1,2017-08-19 11:19:47
"Oklahoma",-44.5,0,1,2017-08-19 11:19:47
"Nevada",23.5,1,1,2017-08-19 11:19:47
"Northwestern",-23.5,0,1,2017-08-19 11:19:47
"William & Mary",NA,NA,1,2017-08-19 11:19:47
"Virginia",NA,NA,1,2017-08-19 11:19:47
"Michigan",-3,0,1,2017-08-19 11:19:47
"Florida",3,1,1,2017-08-19 11:19:47
"Temple",15,1,1,2017-08-19 11:19:47
"Notre Dame",-15,0,1,2017-08-19 11:19:47
"Alabama A&M",NA,NA,1,2017-08-19 11:19:47
"UAB",NA,NA,1,2017-08-19 11:19:47
"Troy",12.5,1,1,2017-08-19 11:19:47
"Boise State",-12.5,0,1,2017-08-19 11:19:47
"Charleston Southern",NA,NA,1,2017-08-19 11:19:47
"Mississippi State",NA,NA,1,2017-08-19 11:19:47
"Eastern Washington",NA,NA,1,2017-08-19 11:19:47
"Texas Tech",NA,NA,1,2017-08-19 11:19:47
"Stony Brook",NA,NA,1,2017-08-19 11:19:47
"USF",NA,NA,1,2017-08-19 11:19:47
"Kentucky",-10,0,1,2017-08-19 11:19:47
"Southern Miss",10,1,1,2017-08-19 11:19:47
"Western Michigan",27,1,1,2017-08-19 11:19:47
"USC",-27,0,1,2017-08-19 11:19:47
"Albany-NY",NA,NA,1,2017-08-19 11:19:47
"Old Dominion",NA,NA,1,2017-08-19 11:19:47
"North Carolina Central",NA,NA,1,2017-08-19 11:19:47
"Duke",NA,NA,1,2017-08-19 11:19:47
"James Madison",NA,NA,1,2017-08-19 11:19:47
"East Carolina",NA,NA,1,2017-08-19 11:19:47
"Appalachian State",14,1,1,2017-08-19 11:19:47
"Georgia",-14,0,1,2017-08-19 11:19:47
"Miami-OH",0,0,1,2017-08-19 11:19:47
"Marshall",0,0,1,2017-08-19 11:19:47
"Houston",-13,0,1,2017-08-19 11:19:47
"UTSA",13,1,1,2017-08-19 11:19:47
"Lamar",NA,NA,1,2017-08-19 11:19:47
"North Texas",NA,NA,1,2017-08-19 11:19:47
"Houston Baptist",NA,NA,1,2017-08-19 11:19:47
"Texas State",NA,NA,1,2017-08-19 11:19:47
"Liberty",NA,NA,1,2017-08-19 11:19:47
"Baylor",NA,NA,1,2017-08-19 11:19:47
"Southeast Missouri State",NA,NA,1,2017-08-19 11:19:47
"Kansas",NA,NA,1,2017-08-19 11:19:47
"Eastern Kentucky",NA,NA,1,2017-08-19 11:19:47
"WKU",NA,NA,1,2017-08-19 11:19:47
"Southeastern Louisiana",NA,NA,1,2017-08-19 11:19:47
"Louisiana-Lafayette",NA,NA,1,2017-08-19 11:19:47
"Massachusetts",NA,NA,1,2017-08-19 11:19:47
"Coastal Carolina",NA,NA,1,2017-08-19 11:19:47
"Northwestern State",NA,NA,1,2017-08-19 11:19:47
"LA Tech",NA,NA,1,2017-08-19 11:19:47
"Hampton",NA,NA,1,2017-08-19 11:19:47
"Ohio",NA,NA,1,2017-08-19 11:19:47
"Central Arkansas",NA,NA,1,2017-08-19 11:19:47
"Kansas State",NA,NA,1,2017-08-19 11:19:47
"South Alabama",26,1,1,2017-08-19 11:19:47
"Ole Miss",-26,0,1,2017-08-19 11:19:47
"Louisville",-25,0,1,2017-08-19 11:19:47
"Purdue",25,1,1,2017-08-19 11:19:47
"Georgia Southern",34.5,1,1,2017-08-19 11:19:47
"Auburn",-34.5,0,1,2017-08-19 11:19:47
"Cal Poly",NA,NA,1,2017-08-19 11:19:47
"San Jose State",NA,NA,1,2017-08-19 11:19:47
"Alabama",-7,0,1,2017-08-19 11:19:47
"Florida State",7,1,1,2017-08-19 11:19:47
"Vanderbilt",-5,0,1,2017-08-19 11:19:47
"Middle Tennessee",5,1,1,2017-08-19 11:19:47
"Arkansas State",16,1,1,2017-08-19 11:19:47
"Nebraska",-16,0,1,2017-08-19 11:19:47
"Jackson State",NA,NA,1,2017-08-19 11:19:47
"TCU",NA,NA,1,2017-08-19 11:19:47
"Northern Iowa",NA,NA,1,2017-08-19 11:19:47
"Iowa State",NA,NA,1,2017-08-19 11:19:47
"Stephen F. Austin",NA,NA,1,2017-08-19 11:19:47
"SMU",NA,NA,1,2017-08-19 11:19:47
"Abilene Christian",NA,NA,1,2017-08-19 11:19:47
"New Mexico",NA,NA,1,2017-08-19 11:19:47
"Grambling State",NA,NA,1,2017-08-19 11:19:47
"Tulane",NA,NA,1,2017-08-19 11:19:47
"Southern Utah",NA,NA,1,2017-08-19 11:19:47
"Oregon",NA,NA,1,2017-08-19 11:19:47
"UC Davis",NA,NA,1,2017-08-19 11:19:47
"San Diego State",NA,NA,1,2017-08-19 11:19:47
"Howard",NA,NA,1,2017-08-19 11:19:47
"UNLV",NA,NA,1,2017-08-19 11:19:47
"LSU",-13,0,1,2017-08-19 11:19:47
"BYU",13,1,1,2017-08-19 11:19:47
"Incarnate Word",NA,NA,1,2017-08-19 11:19:47
"Fresno State",NA,NA,1,2017-08-19 11:19:47
"Montana State",NA,NA,1,2017-08-19 11:19:47
"Washington State",NA,NA,1,2017-08-19 11:19:47
"Northern Arizona",NA,NA,1,2017-08-19 11:19:47
"Arizona",NA,NA,1,2017-08-19 11:19:47
"Western Carolina",NA,NA,1,2017-08-19 11:19:47
"Hawaii",NA,NA,1,2017-08-19 11:19:47
"West Virginia",4.5,1,1,2017-08-19 11:19:47
"Virginia Tech",-4.5,0,1,2017-08-19 11:19:47
"Texas A&M",3,1,1,2017-08-19 11:19:47
"UCLA",-3,0,1,2017-08-19 11:19:47
"Tennessee",-3,0,1,2017-08-19 11:19:47
