"oddsshark_team_name","spread","underdog","week","update_ts"
"Oregon State",3.5,1,1,2017-08-20 22:51:18
"Colorado State",-3.5,0,1,2017-08-20 22:51:18
"Hawaii",0,0,1,2017-08-20 22:51:18
"Massachusetts",0,0,1,2017-08-20 22:51:18
"Portland State",NA,NA,1,2017-08-20 22:51:18
"BYU",NA,NA,1,2017-08-20 22:51:18
"USF",-20,0,1,2017-08-20 22:51:18
"San Jose State",20,1,1,2017-08-20 22:51:18
"Stanford",-31,0,1,2017-08-20 22:51:18
"Rice",31,1,1,2017-08-20 22:51:18
"FIU",17,1,1,2017-08-20 22:51:18
"UCF",-17,0,1,2017-08-20 22:51:18
"Presbyterian",NA,NA,1,2017-08-20 22:51:18
"Wake Forest",NA,NA,1,2017-08-20 22:51:18
"Austin Peay",NA,NA,1,2017-08-20 22:51:18
"Cincinnati",NA,NA,1,2017-08-20 22:51:18
"Buffalo",26.5,1,1,2017-08-20 22:51:18
"Minnesota",-26.5,0,1,2017-08-20 22:51:18
"Elon",NA,NA,1,2017-08-20 22:51:18
"Toledo",NA,NA,1,2017-08-20 22:51:18
"Rhode Island",NA,NA,1,2017-08-20 22:51:18
"Central Michigan",NA,NA,1,2017-08-20 22:51:18
"Tennessee State",NA,NA,1,2017-08-20 22:51:18
"Georgia State",NA,NA,1,2017-08-20 22:51:18
"Tulsa",17,1,1,2017-08-20 22:51:18
"Oklahoma State",-17,0,1,2017-08-20 22:51:18
"North Dakota",NA,NA,1,2017-08-20 22:51:18
"Utah",NA,NA,1,2017-08-20 22:51:18
"Holy Cross",NA,NA,1,2017-08-20 22:51:18
"UCONN",NA,NA,1,2017-08-20 22:51:18
"Ohio State",-20,0,1,2017-08-20 22:51:18
"Indiana",20,1,1,2017-08-20 22:51:18
"Florida A&M",NA,NA,1,2017-08-20 22:51:18
"Arkansas",NA,NA,1,2017-08-20 22:51:18
"Louisiana-Monroe",27,1,1,2017-08-20 22:51:18
"Memphis",-27,0,1,2017-08-20 22:51:18
"Sacramento State",NA,NA,1,2017-08-20 22:51:18
"Idaho",NA,NA,1,2017-08-20 22:51:18
"New Mexico State",23.5,1,1,2017-08-20 22:51:18
"Arizona State",-23.5,0,1,2017-08-20 22:51:18
"Fordham",NA,NA,1,2017-08-20 22:51:18
"Army",NA,NA,1,2017-08-20 22:51:18
"Charlotte",13.5,1,1,2017-08-20 22:51:18
"Eastern Michigan",-13.5,0,1,2017-08-20 22:51:18
"Central Connecticut State",NA,NA,1,2017-08-20 22:51:18
"Syracuse",NA,NA,1,2017-08-20 22:51:18
"Washington",-30.5,0,1,2017-08-20 22:51:18
"Rutgers",30.5,1,1,2017-08-20 22:51:18
"Colorado State",6.5,1,1,2017-08-20 22:51:18
"Colorado",-6.5,0,1,2017-08-20 22:51:18
"Navy",-13,0,1,2017-08-20 22:51:18
"Florida Atlantic",13,1,1,2017-08-20 22:51:18
"Utah State",28.5,1,1,2017-08-20 22:51:18
"Wisconsin",-28.5,0,1,2017-08-20 22:51:18
"Boston College",-2.5,0,1,2017-08-20 22:51:18
"NIU",2.5,1,1,2017-08-20 22:51:18
"Ball State",7.5,1,1,2017-08-20 22:51:18
"Illinois",-7.5,0,1,2017-08-20 22:51:18
"Maryland",17,1,1,2017-08-20 22:51:18
"Texas",-17,0,1,2017-08-20 22:51:18
"Akron",33,1,1,2017-08-20 22:51:18
"Penn State",-33,0,1,2017-08-20 22:51:18
"Bowling Green",18,1,1,2017-08-20 22:51:18
"Michigan State",-18,0,1,2017-08-20 22:51:18
"Kent State",38.5,1,1,2017-08-20 22:51:18
"Clemson",-38.5,0,1,2017-08-20 22:51:18
"Wyoming",12.5,1,1,2017-08-20 22:51:18
"Iowa",-12.5,0,1,2017-08-20 22:51:18
"Missouri State",NA,NA,1,2017-08-20 22:51:18
"Missouri",NA,NA,1,2017-08-20 22:51:18
"California",11,1,1,2017-08-20 22:51:18
"North Carolina",-11,0,1,2017-08-20 22:51:18
"Bethune-Cookman",NA,NA,1,2017-08-20 22:51:18
"Miami-FL",NA,NA,1,2017-08-20 22:51:18
"Youngstown State",NA,NA,1,2017-08-20 22:51:18
"Pittsburgh",NA,NA,1,2017-08-20 22:51:18
"Portland State",NA,NA,1,2017-08-20 22:51:18
"Oregon State",NA,NA,1,2017-08-20 22:51:18
"VMI",NA,NA,1,2017-08-20 22:51:18
"Air Force",NA,NA,1,2017-08-20 22:51:18
"South Carolina",5,1,1,2017-08-20 22:51:18
"NC State",-5,0,1,2017-08-20 22:51:18
"Nevada",23.5,1,1,2017-08-20 22:51:18
"Northwestern",-23.5,0,1,2017-08-20 22:51:18
"William & Mary",NA,NA,1,2017-08-20 22:51:18
"Virginia",NA,NA,1,2017-08-20 22:51:18
"Temple",15,1,1,2017-08-20 22:51:18
"Notre Dame",-15,0,1,2017-08-20 22:51:18
"Alabama A&M",NA,NA,1,2017-08-20 22:51:18
"UAB",NA,NA,1,2017-08-20 22:51:18
"Michigan",-3,0,1,2017-08-20 22:51:18
"Florida",3,1,1,2017-08-20 22:51:18
"UTEP",44.5,1,1,2017-08-20 22:51:18
"Oklahoma",-44.5,0,1,2017-08-20 22:51:18
"Troy",12.5,1,1,2017-08-20 22:51:18
"Boise State",-12.5,0,1,2017-08-20 22:51:18
"Charleston Southern",NA,NA,1,2017-08-20 22:51:18
"Mississippi State",NA,NA,1,2017-08-20 22:51:18
"Eastern Washington",NA,NA,1,2017-08-20 22:51:18
"Texas Tech",NA,NA,1,2017-08-20 22:51:18
"Stony Brook",NA,NA,1,2017-08-20 22:51:18
"USF",NA,NA,1,2017-08-20 22:51:18
"Kentucky",-10,0,1,2017-08-20 22:51:18
"Southern Miss",10,1,1,2017-08-20 22:51:18
"Western Michigan",27,1,1,2017-08-20 22:51:18
"USC",-27,0,1,2017-08-20 22:51:18
"Albany-NY",NA,NA,1,2017-08-20 22:51:18
"Old Dominion",NA,NA,1,2017-08-20 22:51:18
"North Carolina Central",NA,NA,1,2017-08-20 22:51:18
"Duke",NA,NA,1,2017-08-20 22:51:18
"James Madison",NA,NA,1,2017-08-20 22:51:18
"East Carolina",NA,NA,1,2017-08-20 22:51:18
"Appalachian State",14,1,1,2017-08-20 22:51:18
"Georgia",-14,0,1,2017-08-20 22:51:18
"Miami-OH",0,0,1,2017-08-20 22:51:18
"Marshall",0,0,1,2017-08-20 22:51:18
"Houston Baptist",NA,NA,1,2017-08-20 22:51:18
"Texas State",NA,NA,1,2017-08-20 22:51:18
"Liberty",NA,NA,1,2017-08-20 22:51:18
"Baylor",NA,NA,1,2017-08-20 22:51:18
"Southeast Missouri State",NA,NA,1,2017-08-20 22:51:18
"Kansas",NA,NA,1,2017-08-20 22:51:18
"Southeastern Louisiana",NA,NA,1,2017-08-20 22:51:18
"Louisiana-Lafayette",NA,NA,1,2017-08-20 22:51:18
"Eastern Kentucky",NA,NA,1,2017-08-20 22:51:18
"WKU",NA,NA,1,2017-08-20 22:51:18
"Massachusetts",NA,NA,1,2017-08-20 22:51:18
"Coastal Carolina",NA,NA,1,2017-08-20 22:51:18
"Northwestern State",NA,NA,1,2017-08-20 22:51:18
"LA Tech",NA,NA,1,2017-08-20 22:51:18
"Hampton",NA,NA,1,2017-08-20 22:51:18
"Ohio",NA,NA,1,2017-08-20 22:51:18
"Houston",-13,0,1,2017-08-20 22:51:18
"UTSA",13,1,1,2017-08-20 22:51:18
"Lamar",NA,NA,1,2017-08-20 22:51:18
"North Texas",NA,NA,1,2017-08-20 22:51:18
"Central Arkansas",NA,NA,1,2017-08-20 22:51:18
"Kansas State",NA,NA,1,2017-08-20 22:51:18
"Louisville",-25,0,1,2017-08-20 22:51:18
"Purdue",25,1,1,2017-08-20 22:51:18
"Georgia Southern",34.5,1,1,2017-08-20 22:51:18
