"game_id","spread","update_ts"
1,NA,2017-08-24 18:00:28
2,"2",2017-08-24 18:00:28
3,"4",2017-08-24 18:00:28
4,"21.5",2017-08-24 18:00:28
6,"23.5",2017-08-24 18:00:28
7,NA,2017-08-24 18:00:28
8,NA,2017-08-24 18:00:28
9,NA,2017-08-24 18:00:28
10,NA,2017-08-24 18:00:28
11,"20",2017-08-24 18:00:28
12,"27",2017-08-24 18:00:28
13,"26.5",2017-08-24 18:00:28
14,NA,2017-08-24 18:00:28
15,NA,2017-08-24 18:00:28
16,NA,2017-08-24 18:00:28
17,NA,2017-08-24 18:00:28
18,NA,2017-08-24 18:00:28
19,"13.5",2017-08-24 18:00:28
20,"2.5",2017-08-24 18:00:28
21,"30.5",2017-08-24 18:00:28
22,NA,2017-08-24 18:00:28
23,"28.5",2017-08-24 18:00:28
25,NA,2017-08-24 18:00:28
26,"11.5",2017-08-24 18:00:28
27,NA,2017-08-24 18:00:28
28,NA,2017-08-24 18:00:28
29,"34.5",2017-08-24 18:00:28
30,NA,2017-08-24 18:00:28
31,"11",2017-08-24 18:00:28
32,"38.5",2017-08-24 18:00:28
33,NA,2017-08-24 18:00:28
34,NA,2017-08-24 18:00:28
35,NA,2017-08-24 18:00:28
36,NA,2017-08-24 18:00:28
37,"13.5",2017-08-24 18:00:28
38,NA,2017-08-24 18:00:28
39,"7.5",2017-08-24 18:00:28
40,"12.5",2017-08-24 18:00:28
41,NA,2017-08-24 18:00:28
42,NA,2017-08-24 18:00:28
43,NA,2017-08-24 18:00:28
44,NA,2017-08-24 18:00:28
45,NA,2017-08-24 18:00:28
46,"0",2017-08-24 18:00:28
47,NA,2017-08-24 18:00:28
48,"18",2017-08-24 18:00:28
49,NA,2017-08-24 18:00:28
50,NA,2017-08-24 18:00:28
51,"16",2017-08-24 18:00:28
52,NA,2017-08-24 18:00:28
53,"10.5",2017-08-24 18:00:28
54,NA,2017-08-24 18:00:28
55,"24",2017-08-24 18:00:28
56,"44.5",2017-08-24 18:00:28
57,"17",2017-08-24 18:00:28
58,NA,2017-08-24 18:00:28
59,"24",2017-08-24 18:00:28
60,NA,2017-08-24 18:00:28
61,NA,2017-08-24 18:00:28
62,"33",2017-08-24 18:00:28
63,NA,2017-08-24 18:00:28
64,NA,2017-08-24 18:00:28
65,NA,2017-08-24 18:00:28
66,NA,2017-08-24 18:00:28
67,"17",2017-08-24 18:00:28
68,NA,2017-08-24 18:00:28
69,NA,2017-08-24 18:00:28
70,NA,2017-08-24 18:00:28
72,NA,2017-08-24 18:00:28
73,"27",2017-08-24 18:00:28
74,NA,2017-08-24 18:00:28
75,"11",2017-08-24 18:00:28
76,NA,2017-08-24 18:00:28
77,NA,2017-08-24 18:00:28
78,NA,2017-08-24 18:00:28
79,"4",2017-08-24 18:00:28
84,NA,2017-08-24 18:00:28
85,"15",2017-08-24 18:00:28
86,"10",2017-08-24 18:00:28
87,NA,2017-08-24 18:00:28
88,"5",2017-08-24 18:00:28
89,NA,2017-08-24 18:00:28
90,"3",2017-08-24 18:00:28
