"egame_id","dates","away","home","away_short","home_short","favorite","spread","update_ts"
400933827,2017-09-03 00:00:00,"Florida State","Alabama","FSU","ALA","ALA","-7.0",2017-08-26 03:49:08
400933828,2017-09-01 00:00:00,"Florida A&M","Arkansas","FAMU","ARK","","",2017-08-26 03:49:08
400933829,2017-09-02 23:30:00,"Georgia Southern","Auburn","GASO","AUB","AUB","-34.5",2017-08-26 03:49:08
400933830,2017-09-02 19:30:00,"Michigan","Florida","MICH","FLA","MICH","-4.0",2017-08-26 03:49:08
400933831,2017-09-02 22:15:00,"Appalachian State","Georgia","APP","UGA","UGA","-14.0",2017-08-26 03:49:08
400933832,2017-09-02 20:00:00,"Kentucky","Southern Mississippi","UK","USM","UK","-10.0",2017-08-26 03:49:08
400933833,2017-09-03 01:30:00,"BYU","LSU","BYU","LSU","LSU","-12.5",2017-08-26 03:49:08
400933834,2017-09-02 23:30:00,"South Alabama","Ole Miss","USA","MISS","MISS","-24.0",2017-08-26 03:49:08
400933835,2017-09-02 20:00:00,"Charleston Southern","Mississippi State","CHSO","MSST","","",2017-08-26 03:49:08
400933836,2017-09-02 16:00:00,"Missouri State","Missouri","MOST","MIZ","","",2017-08-26 03:49:08
400933837,2017-09-02 19:00:00,"NC State","South Carolina","NCST","SC","","",2017-08-26 03:49:08
400933838,2017-09-03 23:30:00,"Texas A&M","UCLA","TA&M","UCLA","UCLA","-3.5",2017-08-26 03:49:08
400933839,2017-09-03 00:00:00,"Vanderbilt","Middle Tennessee","VAN","MTSU","VAN","-4.5",2017-08-26 03:49:08
400933840,2017-09-05 00:00:00,"Tennessee","Georgia Tech","TENN","GT","TENN","-3.5",2017-08-26 03:49:08
400934488,2017-09-03 00:00:00,"Northern Iowa","Iowa State","UNI","ISU","","",2017-08-26 03:49:08
400934489,2017-09-02 23:00:00,"Liberty","Baylor","LIB","BAY","","",2017-08-26 03:49:08
400934490,2017-09-02 23:00:00,"Southeast Missouri State","Kansas","SEMO","KU","","",2017-08-26 03:49:08
400934491,2017-09-02 23:10:00,"Central Arkansas","Kansas State","UCA","KSU","","",2017-08-26 03:49:08
400934492,2017-09-02 19:30:00,"UTEP","Oklahoma","UTEP","OKLA","OKLA","-1.0",2017-08-26 03:49:08
400934493,2017-08-31 23:30:00,"Tulsa","Oklahoma State","TLSA","OKST","OKST","-17.0",2017-08-26 03:49:08
400934494,2017-09-03 00:00:00,"Jackson State","TCU","JKST","TCU","","",2017-08-26 03:49:08
400934495,2017-09-02 16:00:00,"Maryland","Texas","MD","TEX","TEX","-17.5",2017-08-26 03:49:08
400934496,2017-09-02 20:00:00,"Eastern Washington","Texas Tech","EWU","TTU","","",2017-08-26 03:49:08
400934497,2017-09-03 23:30:00,"West Virginia","Virginia Tech","WVU","VT","VT","-4.5",2017-08-26 03:49:08
400934570,2017-09-01 22:00:00,"Fordham","Army","FOR","ARMY","","",2017-08-26 03:49:08
