"game_id","egame_id","favorite","espn_spread","update.ts.x","oddshark_spread","update.ts.y"
6,400935247,"ASU",22.5,"2017-08-31 21:17:04",22,"2017-08-31 21:17:10"
7,400944890,"CMU",32.5,"2017-08-31 21:17:04",32.5,"2017-08-31 21:17:10"
8,400941787,"CIN",46.5,"2017-08-31 21:17:04",46.5,"2017-08-31 21:17:10"
10,400944826,"GAST",15.5,"2017-08-31 21:17:04",15.5,"2017-08-31 21:17:10"
11,400935229,"OSU",20.5,"2017-08-31 21:17:04",21,"2017-08-31 21:17:10"
13,400935230,"MINN",24.5,"2017-08-31 21:17:04",24,"2017-08-31 21:17:10"
14,400944889,"TOL",42,"2017-08-31 21:17:04",42,"2017-08-31 21:17:10"
15,400935248,"UTAH",22,"2017-08-31 21:17:04",22,"2017-08-31 21:17:10"
17,400933828,"ARK",54,"2017-08-31 21:17:04",54,"2017-08-31 21:17:10"
18,400944827,"IDHO",25.5,"2017-08-31 21:17:04",25.5,"2017-08-31 21:17:10"
19,400944891,"EMU",14,"2017-08-31 21:17:04",14,"2017-08-31 21:17:10"
21,400935250,"WASH",27.5,"2017-08-31 21:17:04",27.5,"2017-08-31 21:17:10"
23,400935231,"WIS",27.5,"2017-08-31 21:17:04",27,"2017-08-31 21:17:10"
24,400935249,"COLO",4.5,"2017-08-31 21:17:04",3.5,"2017-08-31 21:17:10"
26,400938592,"NAVY",10,"2017-08-31 21:17:04",9,"2017-08-31 21:17:10"
29,400933829,"AUB",34.5,"2017-08-31 21:17:04",34.5,"2017-08-31 21:17:10"
31,400944830,"BSU",11,"2017-08-31 21:17:04",11,"2017-08-31 21:17:10"
32,400937447,"CLEM",39.5,"2017-08-31 21:17:04",39.5,"2017-08-31 21:17:10"
37,400933831,"UGA",14.5,"2017-08-31 21:17:04",14,"2017-08-31 21:17:10"
39,400935232,"ILL",6.5,"2017-08-31 21:17:04",6.5,"2017-08-31 21:17:10"
40,400935233,"IOWA",11.5,"2017-08-31 21:17:04",11.5,"2017-08-31 21:17:10"
48,400935234,"MSU",17,"2017-08-31 21:17:04",17.5,"2017-08-31 21:17:10"
51,400935235,"NEB",15,"2017-08-31 21:17:04",14.5,"2017-08-31 21:17:10"
53,400935256,"UNC",11.5,"2017-08-31 21:17:04",12,"2017-08-31 21:17:10"
55,400935236,"NW",24,"2017-08-31 21:17:04",24,"2017-08-31 21:17:10"
56,400934492,"OKLA",43,"2017-08-31 21:17:04",43,"2017-08-31 21:17:10"
57,400934493,"OKST",18,"2017-08-31 21:17:04",17.5,"2017-08-31 21:17:10"
59,400933834,"MISS",23.5,"2017-08-31 21:17:04",24,"2017-08-31 21:17:10"
62,400935237,"PSU",30.5,"2017-08-31 21:17:04",30.5,"2017-08-31 21:17:10"
67,400934495,"TEX",18.5,"2017-08-31 21:17:04",18.5,"2017-08-31 21:17:10"
73,400935252,"USC",26.5,"2017-08-31 21:17:04",26.5,"2017-08-31 21:17:10"
79,400933830,"MICH",5,"2017-08-31 21:17:04",5,"2017-08-31 21:17:10"
82,400935238,"LOU",24.5,"2017-08-31 21:17:04",24.5,"2017-08-31 21:17:10"
83,400933833,"LSU",15.5,"2017-08-31 21:17:04",15.5,"2017-08-31 21:17:10"
85,400934573,"ND",18.5,"2017-08-31 21:17:04",18.5,"2017-08-31 21:17:10"
88,400933839,"VAN",3,"2017-08-31 21:17:04",3.5,"2017-08-31 21:17:10"
90,400933838,"UCLA",3.5,"2017-08-31 21:17:04",3.5,"2017-08-31 21:17:10"
91,400934497,"VT",4,"2017-08-31 21:17:04",4,"2017-08-31 21:17:10"
92,400933840,"TENN",3,"2017-08-31 21:17:04",3,"2017-08-31 21:17:10"
